#,STATE,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,"LAST NAME, FIRST",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (NY, SC)","COMBINED % (NY, SC)",Notes (See Endnotes Tab),year
1,Alabama,AL,01,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,REP,Unopposed,,,,"112,944",68.10%,,,,,,2006
2,Alabama,AL,01,H6AL01052,,Vivian Sheffield,Beckerle,"Beckerle, Vivian Sheffield",,DEM,Unopposed,,,,"52,770",31.82%,,,,,,2006
3,Alabama,AL,01,,,,Scattered,Scattered,,W,,,,,127,0.08%,,,,,,2006
4,Alabama,AL,01,,,,,,District Votes:,,,,,,"165,841",,,,,,,2006
5,Alabama,AL,02,H2AL02067,(I),Terry,Everett,"Everett, Terry",,REP,Unopposed,,,,"124,302",69.47%,,,,,,2006
6,Alabama,AL,02,H4AL02063,,Charles (Chuck) Dean,James,"James, Charles (Chuck) Dean",,DEM,"36,058",70.60%,,,"54,450",30.43%,,,,,,2006
7,Alabama,AL,02,H6AL02134,,"John, Jr.",Morykwas,"Morykwas, John, Jr.",,DEM,"15,016",29.40%,,,,,,,,,,2006
8,Alabama,AL,02,,,,,,Party Votes:,DEM,"51,074",,,,,,,,,,,2006
9,Alabama,AL,02,,,,Scattered,Scattered,,W,,,,,167,0.09%,,,,,,2006
10,Alabama,AL,02,,,,,,District Votes:,,"51,074",,,,"178,919",,,,,,,2006
11,Alabama,AL,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,REP,Unopposed,,,,"98,257",59.44%,,,,,,2006
12,Alabama,AL,03,H6AL03140,,Greg A.,Pierce,"Pierce, Greg A.",,DEM,Unopposed,,,,"63,559",38.45%,,,,,,2006
13,Alabama,AL,03,H6AL03132,,Mark Edwin,Layfield,"Layfield, Mark Edwin",,IND,,,,,"3,414",2.07%,,,,,,2006
14,Alabama,AL,03,,,,Scattered,Scattered,,W,,,,,71,0.04%,,,,,,2006
15,Alabama,AL,03,,,,,,District Votes:,,,,,,"165,301",,,,,,,2006
16,Alabama,AL,04,H6AL04098,(I),Robert B.,Aderholt,"Aderholt, Robert B.",,REP,Unopposed,,,,"128,484",70.18%,,,,,,2006
17,Alabama,AL,04,H6AL04130,,Barbara,Bobo,"Bobo, Barbara",,DEM,Unopposed,,,,"54,382",29.71%,,,,,,2006
18,Alabama,AL,04,,,,Scattered,Scattered,,W,,,,,206,0.11%,,,,,,2006
19,Alabama,AL,04,,,,,,District Votes:,,,,,,"183,072",,,,,,,2006
20,Alabama,AL,05,H0AL05049,(I),Bud,Cramer,"Cramer, Bud",,DEM,Unopposed,,,,"143,015",98.25%,,,,,,2006
21,Alabama,AL,05,,,,Scattered,Scattered,,W,,,,,"2,540",1.75%,,,,,,2006
22,Alabama,AL,05,,,,,,District Votes:,,,,,,"145,555",,,,,,,2006
23,Alabama,AL,06,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,REP,Unopposed,,,,"163,514",98.32%,,,,,,2006
24,Alabama,AL,06,,,,Scattered,Scattered,,W,,,,,"2,786",1.68%,,,,,,2006
25,Alabama,AL,06,,,,,,District Votes:,,,,,,"166,300",,,,,,,2006
26,Alabama,AL,07,H0AL07060,(I),Artur,Davis,"Davis, Artur",,DEM,"93,586",90.91%,,,"133,870",99.04%,,,,,,2006
27,Alabama,AL,07,H6AL07166,,Eddison T.,Walters,"Walters, Eddison T.",,DEM,"9,358",9.09%,,,,,,,,,,2006
28,Alabama,AL,07,,,,,,Party Votes:,DEM,"102,944",,,,,,,,,,,2006
29,Alabama,AL,07,,,,Scattered,Scattered,,W,,,,,"1,294",0.96%,,,,,,2006
30,Alabama,AL,07,,,,,,District Votes:,,"102,944",,,,"135,164",,,,,,,2006
31,Alabama,AL,H,,,,,,House Votes:,,"154,018",,,,"1,140,152",,,,,,,2006
32,Alaska,AK,00,H6AK00045,(I),Don E.,Young,"Young, Don E.",,REP,"81,089",100.00%,,,"132,743",56.57%,,,,,,2006
33,Alaska,AK,00,,,,,,Party Votes:,REP,"81,089",,,,,,,,,,,2006
34,Alaska,AK,00,H6AK00144,,Diane E.,Benson,"Benson, Diane E.",,DEM,"19,421",47.87%,,,"93,879",40.01%,,,,,,2006
35,Alaska,AK,00,H6AK00169,,Ray ,Metcalfe,"Metcalfe, Ray ",,DEM,"16,529",40.74%,,,,,,,,,,2006
36,Alaska,AK,00,H6AK00151,,Todd,Hyde,"Hyde, Todd",,DEM,"2,482",6.12%,,,,,,,,,,2006
37,Alaska,AK,00,H6AK00136,,Frank,Vondersaar,"Vondersaar, Frank",,DEM,"2,141",5.28%,,,,,,,,,,2006
38,Alaska,AK,00,,,,,,Party Votes:,DEM,"40,573",,,,,,,,,,,2006
39,Alaska,AK,00,H6AK00193,,Alexander ,Crawford,"Crawford, Alexander ",,LBT,"3,176",82.22%,,,"4,029",1.72%,,,,,,2006
40,Alaska,AK,00,H6AK00201,,Sol L. ,Gerstenfeld,"Gerstenfeld, Sol L. ",,LBT,687,17.78%,,,,,,,,,,2006
41,Alaska,AK,00,,,,,,Party Votes:,LBT,"3,863",,,,,,,,,,,2006
42,Alaska,AK,00,H6AK00185,,Eva L.,Ince,"Ince, Eva L.",,GRE,"3,620",100.00%,,,"1,819",0.78%,,,,,,2006
43,Alaska,AK,00,,,,,,Party Votes:,GRE,"3,620",,,,,,,,,,,2006
44,Alaska,AK,00,H6AK00219,,"William W. ""Bill""",Ratigan,"Ratigan, William W. ""Bill""",,IPN,,,,,"1,615",0.69%,,,,,,2006
45,Alaska,AK,00,,,,Scattered,Scattered,,W,,,,,560,0.24%,,,,,,2006
46,Alaska,AK,00,,,,,,District Votes:,,"129,145",,,,"234,645",,,,,,,2006
47,Alaska,AK,H,,,,,,House Votes:,,"129,145",,,,"234,645",,,,,,,2006
48,American Samoa,AS,00,H0AS00018,(I),Eni F.H. Faleomavaega,Hunkin,"Hunkin, Eni F.H. Faleomavaega",,DEM,n/a,,,,"5,195",47.09%,,,,,1,2006
49,American Samoa,AS,00,H4AS00036,,Amata Aumua,Coleman,"Coleman, Amata Aumua",,REP,n/a,,,,"4,493",40.72%,,,,,1,2006
50,American Samoa,AS,00,H6AS00023,,"Muavaefaatasi Ae, Jr.",Ae,"Ae, Muavaefaatasi Ae, Jr.",,IND,n/a,,,,"1,345",12.19%,,,,,1,2006
51,American Samoa,AS,00,,,,,,District Votes:,,,,,,"11,033",,,,,,1,2006
52,American Samoa,AS,H,,,,,,House Votes:,,,,,,"11,033",,,,,,1,2006
53,Arizona,AZ,S,S4AZ00030,(I),Jon ,Kyl,"Kyl, Jon ",,REP,"297,636",99.95%,,,"814,398",53.34%,,,,,,2006
54,Arizona,AZ,S,S6AZ00159,,Michael,Aloisi,"Aloisi, Michael",,W(REP),155,0.05%,,,,,,,,,,2006
55,Arizona,AZ,S,,,,,,Party Votes:,REP,"297,791",,,,,,,,,,,2006
56,Arizona,AZ,S,S6AZ00142,,Jim,Pederson,"Pederson, Jim",,DEM,"214,455",,,,"664,141",43.50%,,,,,,2006
57,Arizona,AZ,S,,,,,,Party Votes:,DEM,"214,455",,,,,,,,,,,2006
58,Arizona,AZ,S,S6AZ00175,,Richard,Mack,"Mack, Richard",,LBT,"3,311",100.00%,,,"48,231",3.16%,,,,,,2006
59,Arizona,AZ,S,,,,,,Party Votes:,LBT,"3,311",,,,,,,,,,,2006
60,Arizona,AZ,S,S6AZ00183,,Stephen the Penny Man,Baker,"Baker, Stephen the Penny Man",,W,,,,,7,0.00%,,,,,,2006
61,Arizona,AZ,S,S6AZ00191,,Ray,Caplette,"Caplette, Ray",,W,,,,,5,0.00%,,,,,,2006
62,Arizona,AZ,S,,,,,,Senate Votes:,,"515,557",,,,"1,526,782",,,,,,,2006
63,Arizona,AZ,01,H2AZ01172,(I),Rick,Renzi,"Renzi, Rick",,REP,"37,664",100.00%,,,"105,646",51.75%,,,,,,2006
64,Arizona,AZ,01,,,,,,Party Votes:,REP,"37,664",,,,,,,,,,,2006
65,Arizona,AZ,01,H6AZ00035,,Ellen,Simon,"Simon, Ellen",,DEM,"20,273",52.78%,,,"88,691",43.45%,,,,,,2006
66,Arizona,AZ,01,H6AZ01157,,Susan,Friedman,"Friedman, Susan",,DEM,"7,062",18.39%,,,,,,,,,,2006
67,Arizona,AZ,01,H4AZ01129,,Bob,Donahue,"Donahue, Bob",,DEM,"5,927",15.74%,,,,,,,,,,2006
68,Arizona,AZ,01,H6AZ01132,,Mike,Caccioppoli,"Caccioppoli, Mike",,DEM,"3,635",9.65%,,,,,,,,,,2006
69,Arizona,AZ,01,H6AZ01140,,Vic,McKerlie,"McKerlie, Vic",,DEM,"1,512",3.94%,,,,,,,,,,2006
70,Arizona,AZ,01,,,,,,Party Votes:,DEM,"38,409",,,,,,,,,,,2006
71,Arizona,AZ,01,H6AZ01165,,David,Schlosser,"Schlosser, David",,LBT,606,100.00%,,,"9,802",4.80%,,,,,,2006
72,Arizona,AZ,01,,,,,,Party Votes:,LBT,606,,,,,,,,,,,2006
73,Arizona,AZ,01,,,,,,District Votes:,,"76,679",,,,"204,139",,,,,,,2006
74,Arizona,AZ,02,H4AZ04024,(I),Trent,Franks,"Franks, Trent",,REP,"51,386",100.00%,,,"135,150",58.62%,,,,,,2006
75,Arizona,AZ,02,,,,,,Party Votes:,REP,"51,386",,,,,,,,,,,2006
76,Arizona,AZ,02,H6AZ02155,,John,Thrasher,"Thrasher, John",,DEM,"11,521",46.74%,,,"89,671",38.89%,,,,,,2006
77,Arizona,AZ,02,H0AZ03248,,Gene,Scharer,"Scharer, Gene",,DEM,"8,462",34.33%,,,,,,,,,,2006
78,Arizona,AZ,02,H6AZ02163,,"Suchindran ""Chat""",Chatterjee,"Chatterjee, Suchindran ""Chat""",,DEM,"4,667",18.93%,,,,,,,,,,2006
79,Arizona,AZ,02,,,,,,Party Votes:,DEM,"24,650",,,,,,,,,,,2006
80,Arizona,AZ,02,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,LBT,494,100.00%,,,"5,734",2.49%,,,,,,2006
81,Arizona,AZ,02,H6AZ00027,,William,Crum,"Crum, William",,W,,,,,5,0.00%,,,,,,2006
82,Arizona,AZ,02,,,,,,Party Votes:,LBT,494,,,,,,,,,,,2006
83,Arizona,AZ,02,,,,,,District Votes:,,"76,530",,,,"230,560",,,,,,,2006
84,Arizona,AZ,03,H4AZ04016,(I),John,Shadegg,"Shadegg, John",,REP,"35,763",100.00%,,,"112,519",59.27%,,,,,,2006
85,Arizona,AZ,03,,,,,,Party Votes:,REP,"35,763",,,,,,,,,,,2006
86,Arizona,AZ,03,H6AZ03146,,Herb,Paine,"Paine, Herb",,DEM,"7,902",50.42%,,,"72,586",38.23%,,,,,,2006
87,Arizona,AZ,03,H6AZ03153,,Don,Chilton,"Chilton, Don",,DEM,"7,759",49.51%,,,,,,,,,,2006
88,Arizona,AZ,03,H6AZ03161,,Jim,McCoy,"McCoy, Jim",,W(DEM),12,0.08%,,,,,,,,,,2006
89,Arizona,AZ,03,,,,,,Party Votes:,DEM,"15,673",,,,,,,,,,,2006
90,Arizona,AZ,03,H4AZ04073,,Mark,Yannone,"Yannone, Mark",,LBT,322,100.00%,,,"4,744",2.50%,,,,,,2006
91,Arizona,AZ,03,,,,,,Party Votes:,LBT,322,,,,,,,,,,,2006
92,Arizona,AZ,03,,,,,,District Votes:,,"51,758",,,,"189,849",,,,,,,2006
93,Arizona,AZ,04,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,DEM,"14,833",100.00%,,,"56,464",72.52%,,,,,,2006
94,Arizona,AZ,04,,,,,,Party Votes:,DEM,"14,833",,,,,,,,,,,2006
95,Arizona,AZ,04,H2AZ04101,,Don,Karg,"Karg, Don",,REP,"7,175",100.00%,,,"18,627",23.92%,,,,,,2006
96,Arizona,AZ,04,,,,,,Party Votes:,REP,"7,175",,,,,,,,,,,2006
97,Arizona,AZ,04,H6AZ04169,,Ronald,Harders,"Harders, Ronald",,W(LBT)/LBT,12,100.00%,,,"2,770",3.56%,,,,,,2006
98,Arizona,AZ,04,,,,,,Party Votes:,LBT,12,,,,,,,,,,,2006
99,Arizona,AZ,04,,,,,,District Votes:,,"22,020",,,,"77,861",,,,,,,2006
100,Arizona,AZ,05,H6AZ05067,,Harry,Mitchell,"Mitchell, Harry",,DEM,"20,852",100.00%,,,"101,838",50.41%,,,,,,2006
101,Arizona,AZ,05,,,,,,Party Votes:,DEM,"20,852",,,,,,,,,,,2006
102,Arizona,AZ,05,H4AZ06052,(I),J.D.,Hayworth,"Hayworth, J.D.",,REP,"38,275",100.00%,,,"93,815",46.44%,,,,,,2006
103,Arizona,AZ,05,,,,,,Party Votes:,REP,"38,275",,,,,,,,,,,2006
104,Arizona,AZ,05,H2AZ05124,,Warren,Severin,"Severin, Warren",,LBT,387,100.00%,,,"6,357",3.15%,,,,,,2006
105,Arizona,AZ,05,,,,,,Party Votes:,LBT,387,,,,,,,,,,,2006
106,Arizona,AZ,05,,,,,,District Votes:,,"59,514",,,,"202,010",,,,,,,2006
107,Arizona,AZ,06,H0AZ01184,(I),Jeff,Flake,"Flake, Jeff",,REP,"43,199",100.00%,,,"152,201",74.80%,,,,,,2006
108,Arizona,AZ,06,,,,,,Party Votes:,REP,"43,199",,,,,,,,,,,2006
109,Arizona,AZ,06,H6AZ06040,,Jason M.,Blair,"Blair, Jason M.",,W(LBT)/LBT,19,100.00%,,,"51,285",25.20%,,,,,,2006
110,Arizona,AZ,06,,,,,,Party Votes:,LBT,19,,,,,,,,,,,2006
111,Arizona,AZ,06,,,,,,District Votes:,,"43,218",,,,"203,486",,,,,,,2006
112,Arizona,AZ,07,H2AZ07070,(I),Raul,Grijalva,"Grijalva, Raul",,DEM,"26,604",100.00%,,,"80,354",61.09%,,,,,,2006
113,Arizona,AZ,07,,,,,,Party Votes:,DEM,"26,604",,,,,,,,,,,2006
114,Arizona,AZ,07,H6AZ07014,,Ron,Drake,"Drake, Ron",,REP,"10,022",60.42%,,,"46,498",35.35%,,,,,,2006
115,Arizona,AZ,07,H4AZ02010,,Joseph,Sweeney,"Sweeney, Joseph",,REP,"6,565",39.58%,,,,,,,,,,2006
116,Arizona,AZ,07,,,,,,Party Votes:,REP,"16,587",,,,,,,,,,,2006
117,Arizona,AZ,07,H6AZ07022,,Joe,Cobb,"Cobb, Joe",,W(LBT)/LBT,13,100.00%,,,"4,673",3.55%,,,,,,2006
118,Arizona,AZ,07,,,,,,Party Votes:,LBT,13,,,,,,,,,,,2006
119,Arizona,AZ,07,,,,,,District Votes:,,"43,204",,,,"131,525",,,,,,,2006
120,Arizona,AZ,08,H6AZ08038,,Gabrielle,Giffords,"Giffords, Gabrielle",,DEM,"33,375",54.35%,,,"137,655",54.25%,,,,,,2006
121,Arizona,AZ,08,H6AZ08061,,Patty,Weiss,"Weiss, Patty",,DEM,"19,148",31.18%,,,,,,,,,,2006
122,Arizona,AZ,08,H6AZ08020,,"Jeffrey Lynn ""Jeff""",Latas,"Latas, Jeffrey Lynn ""Jeff""",,DEM,"3,687",6.00%,,,,,,,,,,2006
123,Arizona,AZ,08,H6AZ08095,,Alex,Rodriguez,"Rodriguez, Alex",,DEM,"2,855",4.65%,,,,,,,,,,2006
124,Arizona,AZ,08,H6AZ08111,,"William ""Bill""",Johnson,"Johnson, William ""Bill""",,DEM,"1,768",2.88%,,,,,,,,,,2006
125,Arizona,AZ,08,H6AZ08046,,Francine,Shacter,"Shacter, Francine",,DEM,576,0.94%,,,,,,,,,,2006
126,Arizona,AZ,08,,,,,,Party Votes:,DEM,"61,409",,,,,,,,,,,2006
127,Arizona,AZ,08,H4AZ08017,,Randy,Graf,"Graf, Randy",,REP,"27,063",42.24%,,,"106,790",42.09%,,,,,,2006
128,Arizona,AZ,08,H6AZ08087,,Steve,Huffman,"Huffman, Steve",,REP,"24,119",37.64%,,,,,,,,,,2006
129,Arizona,AZ,08,H6AZ08079,,Mike,Hellon,"Hellon, Mike",,REP,"8,095",12.63%,,,,,,,,,,2006
130,Arizona,AZ,08,H6AZ08129,,Frank,Antenori,"Antenori, Frank",,REP,"2,724",4.25%,,,,,,,,,,2006
131,Arizona,AZ,08,H6AZ08012,,Mike (Michael T.),Jenkins,"Jenkins, Mike (Michael T.)",,REP,"2,075",3.24%,,,,,,,,,,2006
132,Arizona,AZ,08,,,,,,Party Votes:,REP,"64,076",,,,,,,,,,,2006
133,Arizona,AZ,08,H6AZ08137,,David F.,Nolan,"Nolan, David F.",,LBT,516,100.00%,,,"4,849",1.91%,,,,,,2006
134,Arizona,AZ,08,,,,,,Party Votes:,LBT,516,,,,,,,,,,,2006
135,Arizona,AZ,08,H6AZ08103,,Jay,Quick,"Quick, Jay",,IND,,,,,"4,408",1.74%,,,,,,2006
136,Arizona,AZ,08,H6AZ08145,,Russ,Dove,"Dove, Russ",,W,,,,,7,0.00%,,,,,,2006
137,Arizona,AZ,08,H6AZ08160,,Paul ,Price,"Price, Paul ",,W,,,,,7,0.00%,,,,,,2006
138,Arizona,AZ,08,H6AZ08152,,"Leo F., Sr.",Kimminau,"Kimminau, Leo F., Sr.",,W,,,,,4,0.00%,,,,,,2006
139,Arizona,AZ,08,,,,,,District Votes:,,"126,001",,,,"253,720",,,,,,,2006
140,Arizona,AZ,H,,,,,,House Votes:,,"498,924",,,,"1,493,150",,,,,,,2006
141,Arkansas,AR,01,H6AR01072,(I),Marion,Berry,"Berry, Marion",,DEM,Unopposed,,,,"127,577",69.26%,,,,,,2006
142,Arkansas,AR,01,H6AR01106,,"Mickey ""Stubby""",Stumbaugh,"Stumbaugh, Mickey ""Stubby""",,REP,Unopposed,,,,"56,611",30.74%,,,,,,2006
143,Arkansas,AR,01,,,,,,District Votes:,,,,,,"184,188",,,,,,,2006
144,Arkansas,AR,02,H6AR02203,(I),Vic,Snyder,"Snyder, Vic",,DEM,Unopposed,,,,"124,871",60.53%,,,,,,2006
145,Arkansas,AR,02 ,H6AR02229,,Andy,Mayberry,"Mayberry, Andy",,REP,"12,460",77.30%,,,"81,432",39.47%,,,,,,2006
146,Arkansas,AR,02,H6AR02237,,Tom,Formicola,"Formicola, Tom",,REP,"3,658",22.70%,,,,,,,,,,2006
147,Arkansas,AR,02,,,,,,Party Votes:,REP,"16,118",,,,,,,,,,,2006
148,Arkansas,AR,02,,,,,,District Votes:,,"16,118",,,,"206,303",,,,,,,2006
149,Arkansas,AR,03,H2AR03176,(I),John,Boozman,"Boozman, John",,REP,Unopposed,,,,"125,039",62.23%,,,,,,2006
150,Arkansas,AR,03,H6AR03086,,Woodrow,Anderson,"Anderson, Woodrow",,DEM,Unopposed,,,,"75,885",37.77%,,,,,,2006
151,Arkansas,AR,03,,,,,,District Votes:,,,,,,"200,924",,,,,,,2006
152,Arkansas,AR,04,H0AR04038,(I),Mike,Ross,"Ross, Mike",,DEM,Unopposed,,,,"128,236",74.73%,,,,,,2006
153,Arkansas,AR,04,H6AR04068,,Joe,Ross,"Ross, Joe",,REP,Unopposed,,,,"43,360",25.27%,,,,,,2006
154,Arkansas,AR,04,,,,,,District Votes:,,,,,,"171,596",,,,,,,2006
155,Arkansas,AR,H,,,,,,House Votes:,,"16,118",,,,"763,011",,,,,,,2006
156,California,CA,S,S0CA00199,(I),Dianne,Feinstein,"Feinstein, Dianne",,DEM,"2,176,888",86.96%,,,"5,076,289",59.43%,,,,,,2006
157,California,CA,S,S6CA00527,,Colleen ,Fernald,"Fernald, Colleen ",,DEM,"199,180",7.96%,,,,,,,,,,2006
158,California,CA,S,S6CA00519,,Martin Luther,Church,"Church, Martin Luther",,DEM,"127,301",5.09%,,,,,,,,,,2006
159,California,CA,S,,,,,,Party Votes:,DEM,"2,503,369",,,,,,,,,,,2006
160,California,CA,S,S6CA00501,,"Richard ""Dick""",Mountjoy,"Mountjoy, Richard ""Dick""",,REP,"1,560,472",100.00%,,,"2,990,822",35.02%,,,,,,2006
161,California,CA,S,,,,,,Party Votes:,REP,"1,560,472",,,,,,,,,,,2006
162,California,CA,S,S6CA00485,,Todd ,Chretien,"Chretien, Todd ",,GRE,"12,821",46.14%,,,"147,074",1.72%,,,,,,2006
163,California,CA,S,S6CA00535,,Tian ,Harter,"Harter, Tian ",,GRE,"10,318",37.13%,,,,,,,,,,2006
164,California,CA,S,S6CA00543,,Kent P.,Mesplay,"Mesplay, Kent P.",,GRE/W,"4,649",16.73%,,,160,0.00%,,,,,,2006
165,California,CA,S,,,,,,Party Votes:,GRE,"27,788",,,,,,,,,,,2006
166,California,CA,S,S6CA00550,,Michael S.,Metti,"Metti, Michael S.",,LBT,"16,742",100.00%,,,"133,851",1.57%,,,,,,2006
167,California,CA,S,,,,,,Party Votes:,LBT,"16,742",,,,,,,,,,,2006
168,California,CA,S,S4CA00357,,Marsha ,Feinland,"Feinland, Marsha ",,PAF,"4,109",100.00%,,,"117,764",1.38%,,,,,,2006
169,California,CA,S,,,,,,Party Votes:,PAF,"4,109",,,,,,,,,,,2006
170,California,CA,S,S4CA00332,,Don J.,Grundmann,"Grundmann, Don J.",,AIP,"30,787",100.00%,,,"75,350",0.88%,,,,,,2006
171,California,CA,S,,,,,,Party Votes:,AIP,"30,787",,,,,,,,,,,2006
172,California,CA,S,,,Jeffrey,Mackler,"Mackler, Jeffrey",,W,,,,,108,0.00%,,,,,,2006
173,California,CA,S,,,Lea,Sherman,"Sherman, Lea",,W,,,,,47,0.00%,,,,,,2006
174,California,CA,S,,,Connor,Vlakancic,"Vlakancic, Connor",,W,,,,,11,0.00%,,,,,,2006
175,California,CA,S,,,,,,Senate Votes:,,"4,143,267",,,,"8,541,476",,,,,,,2006
176,California,CA,01,H8CA01109,(I),Mike ,Thompson,"Thompson, Mike ",,DEM,"79,138",100.00%,,,"144,409",66.23%,,,,,,2006
177,California,CA,01,,,,,,Party Votes:,DEM,"79,138",,,,,,,,,,,2006
178,California,CA,01,H6CA01152,,John W.,Jones,"Jones, John W.",,REP,"41,953",100.00%,,,"63,194",28.98%,,,,,,2006
179,California,CA,01,,,,,,Party Votes:,REP,"41,953",,,,,,,,,,,2006
180,California,CA,01,H0CA01130,,Pamela,Elizondo,"Elizondo, Pamela ",,GRE,"2,952",100.00%,,,"6,899",3.16%,,,,,,2006
181,California,CA,01,,,,,,Party Votes:,GRE,"2,952",,,,,,,,,,,2006
182,California,CA,01,H6CA001160,,Timothy J.,Stock,"Stock, Timothy J.",,PAF,168,100.00%,,,"3,503",1.61%,,,,,,2006
183,California,CA,01,,,,,,Party Votes:,PAF,168,,,,,,,,,,,2006
184,California,CA,01,,,Carol,Wolman,"Wolman, Carol",,W,,,,,39,0.02%,,,,,,2006
185,California,CA,01,,,,,,District Votes:,,"124,211",,,,"218,044",,,,,,,2006
186,California,CA,02,H6CA02010,(I),Wally ,Herger,"Herger, Wally ",,REP,"69,669",100.00%,,,"134,911",64.18%,,,,,,2006
187,California,CA,02,,,,,,Party Votes:,REP,"69,669",,,,,,,,,,,2006
188,California,CA,02,H4CA02072,,A. J.,Sekhon,"Sekhon, A. J.",,DEM,"23,663",55.01%,,,"68,234",32.46%,,,,,,2006
189,California,CA,02,H6CA02192,,Bill ,Falzett,"Falzett, Bill ",,DEM,"19,311",44.89%,,,,,,,,,,2006
190,California,CA,02,H6CA02218,,Robert,Seals,"Seals, Robert",,W(DEM),43,0.10%,,,,,,,,,,2006
191,California,CA,02,,,,,,Party Votes:,DEM,"43,017",,,,,,,,,,,2006
192,California,CA,02,H6CA02200,,E. Kent,Hinesley,"Hinesley, E. Kent",,LBT,570,100.00%,,,"7,057",3.36%,,,,,,2006
193,California,CA,02,,,,,,Party Votes:,LBT,570,,,,,,,,,,,2006
194,California,CA,02,,,,,,District Votes:,,"113,256",,,,"210,202",,,,,,,2006
195,California,CA,03,H6CA34112,(I),Dan,Lungren,"Lungren, Dan",,REP,"56,968",100.00%,,,"135,709",59.48%,,,,,,2006
196,California,CA,03,,,,,,Party Votes:,REP,"56,968",,,,,,,,,,,2006
197,California,CA,03,H6CA03091,,Bill,Durston,"Durston, Bill",,DEM,"42,980",100.00%,,,"86,318",37.83%,,,,,,2006
198,California,CA,03,,,,,,Party Votes:,DEM,"42,980",,,,,,,,,,,2006
199,California,CA,03,H8CA05134,,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",,LBT,465,100.00%,,,"3,772",1.65%,,,,,,2006
200,California,CA,03,,,,,,Party Votes:,LBT,465,,,,,,,,,,,2006
201,California,CA,03,H6CA03109,,Michael,Roskey,"Roskey, Michael",,PAF,83,100.00%,,,"2,370",1.04%,,,,,,2006
202,California,CA,03,,,,,,Party Votes:,PAF,83,,,,,,,,,,,2006
203,California,CA,03,,,,,,District Votes:,,"100,496",,,,"228,169",,,,,,,2006
204,California,CA,04,H0CA14042,(I),John T.,Doolittle,"Doolittle, John T.",,REP,"63,731",67.16%,,,"135,818",49.05%,,,,,,2006
205,California,CA,04,H6CA04107,,J.M. (Mike),Holmes,"Holmes, J.M. (Mike)",,REP,"31,162",32.84%,,,,,,,,,,2006
206,California,CA,04,,,,,,Party Votes:,REP,"94,893",,,,,,,,,,,2006
207,California,CA,04,H6CA04123,,Charlie,Brown,"Brown, Charlie",,DEM,"26,241",46.29%,,,"126,999",45.87%,,,,,,2006
208,California,CA,04,H6CA04115,,Lisa,Rea,"Rea, Lisa",,DEM,"19,038",33.59%,,,,,,,,,,2006
209,California,CA,04,H6CA04149,,Michael ,Hamersley,"Hamersley, Michael ",,DEM,"11,405",20.12%,,,,,,,,,,2006
210,California,CA,04,,,,,,Party Votes:,DEM,"56,684",,,,,,,,,,,2006
211,California,CA,04,H6CA04131,,Dan ,Warren,"Warren, Dan ",,LBT,672,100.00%,,,"14,076",5.08%,,,,,,2006
212,California,CA,04,,,,,,Party Votes:,LBT,672,,,,,,,,,,,2006
213,California,CA,04,,,,,,District Votes:,,"152,249",,,,"276,893",,,,,,,2006
214,California,CA,05,H6CA05195,(I),Doris O.,Matsui,"Matsui, Doris O.",,DEM,"52,951",100.00%,,,"105,676",70.80%,,,,,,2006
215,California,CA,05,,,,,,Party Votes:,DEM,"52,951",,,,,,,,,,,2006
216,California,CA,05,H6CA05328,,Claire,Yan,"Yan, Claire",,REP,"19,005",100.00%,,,"35,106",23.52%,,,,,,2006
217,California,CA,05,,,,,,Party Votes:,REP,"19,005",,,,,,,,,,,2006
218,California,CA,05,H6CA05310,,Jeff ,Kravitz,"Kravitz, Jeff ",,GRE,720,100.00%,,,"6,466",4.33%,,,,,,2006
219,California,CA,05,,,,,,Party Votes:,GRE,720,,,,,,,,,,,2006
220,California,CA,05,H4CA05240,,John C.,Reiger,"Reiger, John C.",,PAF,186,100.00%,,,"2,018",1.35%,,,,,,2006
221,California,CA,05,,,,,,Party Votes:,PAF,186,,,,,,,,,,,2006
222,California,CA,05,,,,,,District Votes:,,"72,862",,,,"149,266",,,,,,,2006
223,California,CA,06,H2CA01045,(I),Lynn ,Woolsey,"Woolsey, Lynn ",,DEM,"72,058",66.16%,,,"173,190",70.22%,,,,,,2006
224,California,CA,06,H2CA06101,,Joe,Nation,"Nation, Joe",,DEM,"36,845",33.83%,,,,,,,,,,2006
225,California,CA,06,H6CA06193,,Mike ,Halliwell,"Halliwell, Mike ",,W(DEM),11,0.01%,,,,,,,,,,2006
226,California,CA,06,,,,,,Party Votes:,DEM,"108,914",,,,,,,,,,,2006
227,California,CA,06,H6CA06185,,Todd,Hooper,"Hooper, Todd",,REP,"19,448",57.38%,,,"64,405",26.11%,,,,,,2006
