cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,winner,total_votes,totalspend,costvote
H0AZ01184,2004,90444.41,15019.92,51560.51,283047.29,28155.6,16020.39,9483.02,0.0,0.0,0.0,0.0,0.0,78450.09,AZ,6,1,R,33784.0,0.0,202882.0,0.0,1,236666.0,572181.23,2.417673979363322
H0AZ01184,2006,79494.5,23828.06,33091.22,6993.79,0.0,33395.43,25725.89,0.0,0.0,0.0,0.0,0.0,0.0,AZ,6,1,R,43199.0,0.0,152201.0,0.0,1,195400.0,202528.89,1.0364835721596726
H0AZ01184,2008,200007.82,39448.14,174463.48,242738.88,0.0,106309.12,21025.44,0.0,0.0,0.0,0.0,0.0,7144.84,AZ,6,1,R,51562.0,0.0,208582.0,0.0,1,260144.0,791137.72,3.041153053693339
H0AZ01184,2010,295716.43,15581.84,84987.35,150715.54,12714.75,31623.6,37141.53,0.0,0.0,0.0,0.0,0.0,0.0,AZ,6,1,R,62285.0,0.0,165649.0,0.0,1,227934.0,628481.04,2.757293953512859
H0AZ01259,2010,147155.1,33296.4,133914.3,634857.89,25664.0,119271.66,9152.33,0.0,0.0,0.0,410.0,0.0,75700.16,AZ,1,0,R,21941.0,0.0,112816.0,0.0,1,134757.0,1179421.84,8.75221205577447
H0AZ01259,2012,164364.97,18362.83,153514.46000000002,93983.95,17125.0,6151.27,2902.33,50000.0,0.0,0.0,19000.0,0.0,577329.46,AZ,4,1,R,40033.0,0.0,162907.0,0.0,1,202940.0,1052734.27,5.187416329949739
H0AZ03321,2012,224821.44,2082.7,106301.55,785871.52,35300.0,5789.58,0.0,0.0,0.0,0.0,0.0,0.0,108521.79,AZ,9,0,R,11184.0,0.0,111630.0,0.0,0,122814.0,1268688.58,10.330162522188024
H0AZ04493,2010,14584.83,61.08,5106.89,33100.71,8000.0,7974.53,6958.41,0.0,0.0,0.0,0.0,0.0,440.76,AZ,4,0,R,8085.0,0.0,25300.0,0.0,0,33385.0,76227.20999999999,2.2832772203085216
H0AZ04501,2014,11976.96,0.0,0.0,11075.32,0.0,3015.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.12,AZ,7,0,JP,0.0,0.0,3496.0,0.0,0,3496.0,27123.4,7.758409610983982
H0AZ07017,2010,13583.29,0.0,2428.56,13635.07,0.0,718.52,0.0,0.0,0.0,0.0,0.0,0.0,645482.86,AZ,7,0,R,15455.0,0.0,70385.0,0.0,0,85840.0,675848.2999999999,7.87334925442684
