state_abbreviation,district,fec_id,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,year,blank,total_votes
AZ,1,H4AZ01111,,D,35422,,91776,,,2004,,127198
AZ,1,H4AZ01129,,D,12629,,,,,2004,,12629
AZ,1,,,D,48051,,,,,2004,,48051
AZ,1,H4AZ01137,,LBT,505,,13260,,,2004,,13765
AZ,1,,,LBT,505,,,,,2004,,505
AZ,1,,,,85279,,253351,,,2004,,338630
AZ,2,H4AZ04024,(I),R,45261,,165260,,W,2004,,210521
AZ,2,H4AZ02093,,R,25871,,,,,2004,,25871
AZ,2,,,R,71132,,,,,2004,,71132
AZ,2,H2AZ02220,,D,12833,,107406,,,2004,,120239
AZ,2,H0AZ03248,,D,5875,,,,,2004,,5875
AZ,2,H4AZ02101,,D,5652,,,,,2004,,5652
AZ,2,,,D,24360,,,,,2004,,24360
AZ,2,H4AZ02119,,LBT,365,,6625,,,2004,,6990
AZ,2,,,LBT,365,,,,,2004,,365
AZ,2,,,,95857,,279303,,,2004,,375160
AZ,3,H4AZ04016,(I),R,43552,,181012,,W,2004,,224564
AZ,3,,,R,43552,,,,,2004,,43552
AZ,3,H4AZ04073,,LBT,337,,44962,,,2004,,45299
AZ,3,,,LBT,337,,,,,2004,,337
AZ,3,,,,43889,,225974,,,2004,,269863
AZ,4,H2AZ02055,(I),D,15201,,77150,,W,2004,,92351
AZ,4,,,D,15201,,,,,2004,,15201
AZ,4,H2AZ04101,,R,8854,,28238,,,2004,,37092
AZ,4,,,R,8854,,,,,2004,,8854
AZ,4,H4AZ04081,,LBT,235,,4639,,,2004,,4874
AZ,4,,,LBT,235,,,,,2004,,235
AZ,4,,,,24290,,110027,,,2004,,134317
AZ,5,H4AZ06052,(I),R,43166,,159455,,W,2004,,202621
AZ,5,H4AZ05054,,R,11296,,,,,2004,,11296
AZ,5,,,R,54462,,,,,2004,,54462
AZ,5,H4AZ05047,,D,11362,,102363,,,2004,,113725
AZ,5,H2AZ05116,,D,4985,,,,,2004,,4985
AZ,5,,,D,16347,,,,,2004,,16347
AZ,5,H4AZ05062,,LBT,330,,6189,,,2004,,6519
AZ,5,,,LBT,330,,,,,2004,,330
AZ,5,,,,71139,,268007,,,2004,,339146
AZ,6,H0AZ01184,(I),R,33784,,202882,,W,2004,,236666
AZ,6,H4AZ06086,,R,23186,,,,,2004,,23186
AZ,6,,,R,56970,,,,,2004,,56970
AZ,6,H4AZ06094,,LBT,272,,52695,,,2004,,52967
AZ,6,,,LBT,272,,,,,2004,,272
AZ,6,,,,57242,,255577,,,2004,,312819
AZ,7,H2AZ07070,(I),D,26450,,108868,,W,2004,,135318
AZ,7,,,D,26450,,,,,2004,,26450
AZ,7,H4AZ02010,,R,11990,,59066,,,2004,,71056
AZ,7,H4AZ07019,,R,5107,,,,,2004,,5107
AZ,7,,,R,17097,,,,,2004,,17097
AZ,7,H4AZ07027,,LBT,294,,7503,,,2004,,7797
AZ,7,,,LBT,294,,,,,2004,,294
AZ,7,,,,43841,,175437,,,2004,,219278
AZ,8,H2AZ02014,(I),R,36039,,183363,,W,2004,,219402
AZ,8,H4AZ08017,,R,26686,,,,,2004,,26686
AZ,8,,,R,62725,,,,,2004,,62725
AZ,8,H4AZ08058,,D,20216,,109963,,,2004,,130179
AZ,8,H4AZ08033,,D,9177,,,,,2004,,9177
AZ,8,H4AZ08041,,D,5093,,,,,2004,,5093
AZ,8,,,D,34486,,,,,2004,,34486
AZ,8,H6AZ06024,,LBT,385,,10443,,,2004,,10828
AZ,8,,,LBT,385,,,,,2004,,385
AZ,8,,,,97596,,303769,,,2004,,401365
AZ,H,,,,519133,,1871445,,,2004,,2390578
AZ,S,S6AZ00019,(I),R,331720,,1505372,,W,2004,,1837092
AZ,S,,,R,331720,,,,,2004,,331720
AZ,S,S0AZ00152,,D,173540,,404507,,,2004,,578047
AZ,S,,,D,173540,,,,,2004,,173540
AZ,S,S4AZ00121,,LBT,2756,,51798,,,2004,,54554
AZ,S,,,LBT,2756,,,,,2004,,2756
AZ,S,,,,508016,,1961677,,,2004,,2469693
AZ,,,,,1027149,,3833122,,,2004,,4860271
AR,1,H6AR01072,(I),D,0,,162388,,W,2004,,162388
AR,1,H4AR01044,,R,0,,81556,,,2004,,81556
AR,1,,,,,,243944,,,2004,,243944
AR,2,H6AR02203,(I),D,0,,160834,,W,2004,,160834
AR,2,H4AR02117,,R,11590,,115655,,,2004,,127245
AR,2,H2AR02046,,R,5156,,,,,2004,,5156
AR,2,,,R,16746,,,,,2004,,16746
AR,2,,,,16746,,276493,,,2004,,293239
AR,3,H2AR03176,(I),R,0,,160629,,W,2004,,160629
AR,3,H4AR03024,,D,0,,103158,,,2004,,103158
AR,3,H4AR03032,,I,,,7016,,,2004,,7016
AR,3,,,,,,270803,,,2004,,270803
AR,4,H0AR04038,(I),D,0,,0,,W,2004,,0
AR,4,,,,,,,,,2004,,0
AR,H,,,,16746,,791240,,,2004,,807986
AR,S,S8AR00112,(I),D,231037,,580973,,W,2004,,812010
AR,S,S4AR00061,,D,47010,,,,,2004,,47010
AR,S,,,D,278047,,,,,2004,,278047
AR,S,S4AR00046,,R,37254,,458036,,,2004,,495290
AR,S,S4AR00053,,R,10709,,,,,2004,,10709
AR,S,S4AR00079,,R,6078,,,,,2004,,6078
AR,S,,,R,54041,,,,,2004,,54041
AR,S,,,,332088,,1039349,,,2004,,1371437
AR,,,,,348834,,1830589,,,2004,,2179423
CA,1,H8CA01109,(I),D,92371,,189366,,W,2004,,281737
CA,1,,,D,92371,,,,,2004,,92371
CA,1,H0CA01106,,R,48710,,79970,,,2004,,128680
CA,1,,,R,48710,,,,,2004,,48710
CA,1,H0CA01130,,GRN,2365,,13635,,,2004,,16000
CA,1,H4CA01058,,GRN,1966,,,,,2004,,1966
CA,1,,,GRN,4331,,,,,2004,,4331
CA,1,,,,145412,,282971,,,2004,,428383
CA,2,H6CA02010,(I),R,79923,,182119,,W,2004,,262042
CA,2,,,R,79923,,,,,2004,,79923
CA,2,H2CA02068,,D,20760,,90310,,,2004,,111070
CA,2,H4CA02072,,D,14246,,,,,2004,,14246
CA,2,H4CA02080,,D,11897,,,,,2004,,11897
CA,2,,,D,46903,,,,,2004,,46903
CA,2,,,,126826,,272429,,,2004,,399255
CA,3,H6CA34112,,R,35595,,177738,,W,2004,,213333
CA,3,H4CA03070,,R,32728,,,,,2004,,32728
CA,3,H4CA03088,,R,21469,,,,,2004,,21469
CA,3,H2CA05061,,R,1693,,,,,2004,,1693
CA,3,,,R,91485,,,,,2004,,91485
CA,3,H4CA03062,,D,51155,,100025,,,2004,,151180
CA,3,,,D,51155,,,,,2004,,51155
CA,3,H8CA05134,,LBT,634,,9310,,,2004,,9944
CA,3,,,LBT,634,,,,,2004,,634
CA,3,,,,143274,,287073,,,2004,,430347
CA,4,H0CA14042,(I),R,105015,,221926,,W,2004,,326941
CA,4,,,R,105015,,,,,2004,,105015
CA,4,H4CA04078,,D,58036,,117443,,,2004,,175479
CA,4,,,D,58036,,,,,2004,,58036
CA,4,,,,163051,,339369,,,2004,,502420
CA,5,H8CA03014,(I),D,63291,,138004,,W,2004,,201295
CA,5,H4CA05232,,W(D),11,,,,,2004,,11
CA,5,,,D,63302,,,,,2004,,63302
CA,5,H4CA05224,,R,26674,,45120,,,2004,,71794
CA,5,,,R,26674,,,,,2004,,26674
CA,5,H4CA05232,,GRN,1041,,6593,,,2004,,7634
CA,5,,,GRN,1041,,,,,2004,,1041
CA,5,H4CA05240,,PFP,215,,3670,,,2004,,3885
CA,5,,,PFP,215,,,,,2004,,215
CA,5,,,,91232,,193387,,,2004,,284619
CA,6,H2CA01045,(I),D,99970,,226423,,W,2004,,326393
CA,6,H4CA06107,,D,19039,,,,,2004,,19039
CA,6,,,D,119009,,,,,2004,,119009
CA,6,H2CA06234,,R,43248,,85244,,,2004,,128492
CA,6,,,R,43248,,,,,2004,,43248
CA,6,,,,162257,,311667,,,2004,,473924
CA,7,H6CA07043,(I),D,71268,,166831,,W,2004,,238099
CA,7,,,D,71268,,,,,2004,,71268
CA,7,H2CA07091,,R,23900,,52446,,,2004,,76346
CA,7,,,R,23900,,,,,2004,,23900
CA,7,,,,95168,,219277,,,2004,,314445
CA,8,H8CA05035,(I),D,94564,,224017,,W,2004,,318581
CA,8,,,D,94564,,,,,2004,,94564
CA,8,H4CA08079,,R,8814,,31074,,,2004,,39888
CA,8,,,R,8814,,,,,2004,,8814
CA,8,H4CA08087,,PFP,266,,9527,,,2004,,9793
CA,8,,,PFP,266,,,,,2004,,266
CA,8,,,W(GRN),1414,,5446,,,2004,,6860
CA,8,,,GRN,1414,,,,,2004,,1414
CA,8,,,,105058,,270064,,,2004,,375122
CA,9,H8CA09060,(I),D,105211,,215630,,W,2004,,320841
CA,9,,,D,105211,,,,,2004,,105211
CA,9,H4CA09051,,R,11813,,31278,,,2004,,43091
CA,9,,,R,11813,,,,,2004,,11813
CA,9,H2CA09097,,LBT,410,,8131,,,2004,,8541
CA,9,,,LBT,410,,,,,2004,,410
CA,9,,,,117434,,255039,,,2004,,372473
CA,10,H6CA10088,(I),D,75997,,182750,,W,2004,,258747
CA,10,,,D,75997,,,,,2004,,75997
CA,10,H4CA10067,,R,45615,,95349,,,2004,,140964
CA,10,,,R,45615,,,,,2004,,45615
CA,10,,,,121612,,278099,,,2004,,399711
CA,11,H2CA11051,(I),R,65046,,163582,,W,2004,,228628
CA,11,,,R,65046,,,,,2004,,65046
CA,11,H4CA11081,,W(D)/D,1667,,103587,,,2004,,105254
CA,11,,,D,1667,,,,,2004,,1667
CA,11,,,,66713,,267169,,,2004,,333882
CA,12,H0CA11022,(I),D,63323,,171852,,W,2004,,235175
CA,12,H4CA12055,,D,17107,,,,,2004,,17107
CA,12,H2CA12158,,D,5678,,,,,2004,,5678
CA,12,,,W(D),5,,,,,2004,,5
CA,12,,,D,86113,,,,,2004,,86113
CA,12,H4CA05075,,R,13967,,52593,,,2004,,66560
CA,12,H4CA12063,,R,11214,,,,,2004,,11214
CA,12,,,R,25181,,,,,2004,,25181
CA,12,H4CA12071,,GRN,1072,,23038,,,2004,,24110
CA,12,H4CA12089,,GRN,480,,,,,2004,,480
CA,12,,,GRN,1552,,,,,2004,,1552
CA,12,H4CA12097,,LBT,390,,5116,,,2004,,5506
CA,12,,,LBT,390,,,,,2004,,390
CA,12,,,,113236,,252599,,,2004,,365835
CA,13,H6CA09023,(I),D,59726,,144605,,W,2004,,204331
CA,13,,,D,59726,,,,,2004,,59726
CA,13,H4CA13079,,R,19606,,48439,,,2004,,68045
CA,13,,,R,19606,,,,,2004,,19606
CA,13,H2CA13073,,LBT,389,,8877,,,2004,,9266
CA,13,,,LBT,389,,,,,2004,,389
CA,13,,,,79721,,201921,,,2004,,281642
CA,14,H8CA12098,(I),D,81911,,182712,,W,2004,,264623
CA,14,,,D,81911,,,,,2004,,81911
CA,14,H8CA14128,,R,33732,,69564,,,2004,,103296
CA,14,,,R,33732,,,,,2004,,33732
CA,14,H4CA14085,,LBT,873,,9588,,,2004,,10461
CA,14,,,LBT,873,,,,,2004,,873
CA,14,,,,116516,,261888,,,2004,,378404
CA,15,H0CA15148,(I),D,58531,,154385,,W,2004,,212916
CA,15,,,D,58531,,,,,2004,,58531
CA,15,H4CA15058,,R,26813,,59953,,,2004,,86766
CA,15,,,W(R),143,,,,,2004,,143
CA,15,,,R,26956,,,,,2004,,26956
CA,15,,,,85487,,214338,,,2004,,299825
CA,16,H4CA16049,(I),D,50254,,129222,,W,2004,,179476
CA,16,,,D,50254,,,,,2004,,50254
CA,16,H2CA16084,,R,20411,,47992,,,2004,,68403
CA,16,,,R,20411,,,,,2004,,20411
CA,16,H4CA15041,,LBT,346,,5067,,,2004,,5413
CA,16,,,LBT,346,,,,,2004,,346
CA,16,,,,71011,,182281,,,2004,,253292
CA,17,H4CA17021,(I),D,65809,,148958,,W,2004,,214767
CA,17,H6CA16069,,D,6401,,,,,2004,,6401
CA,17,,,D,72210,,,,,2004,,72210
CA,17,H4CA17260,,R,23139,,65117,,,2004,,88256
CA,17,H8CA15067,,R,7751,,,,,2004,,7751
CA,17,,,R,30890,,,,,2004,,30890
CA,17,H2CA17074,,GRN,1656,,3645,,,2004,,5301
CA,17,,,GRN,1656,,,,,2004,,1656
CA,17,H4CA17278,,PFP,141,,2823,,,2004,,2964
CA,17,,,PFP,141,,,,,2004,,141
CA,17,H4CA17286,,LBT,482,,2607,,,2004,,3089
CA,17,,,LBT,482,,,,,2004,,482
CA,17,,,,105379,,223225,,,2004,,328604
CA,18,H2CA18056,(I),D,39565,,103732,,W,2004,,143297
CA,18,,,D,39565,,,,,2004,,39565
CA,18,H4CA18045,,R,16913,,49973,,,2004,,66886
CA,18,H4CA18052,,R,7756,,,,,2004,,7756
CA,18,,,R,24669,,,,,2004,,24669
CA,18,,,,64234,,153705,,,2004,,217939
