state_abbreviation,district,fec_id,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,year,blank,total_votes
UT,2,H2UT02258,,GRN,,,2189,,,2004,,2189
UT,2,H4UT02189,,PCH,,,1210,,,2004,,1210
UT,2,,,,53097,,341968,,,2004,,395065
UT,3,H6UT03042,(I),R,27663,,173010,,W,2004,,200673
UT,3,H2UT03207,,R,19672,,,,,2004,,19672
UT,3,H4UT03096,,R,,,,,,2004,,0
UT,3,,,R,47335,,,,,2004,,47335
UT,3,H4UT03104,,D,,,88748,,,2004,,88748
UT,3,H4UT03112,,CON,,,5089,,,2004,,5089
UT,3,H4UT03120,,LBT,,,3691,,,2004,,3691
UT,3,H4UT03138,,PCH,,,2390,,,2004,,2390
UT,3,,,,47335,,272928,,,2004,,320263
UT,H,,,,100432,,908857,,,2004,,1009289
UT,S,S2UT00104,(I),R,,,626640,,W,2004,,626640
UT,S,S4UT00134,,D,,,258955,,,2004,,258955
UT,S,S4UT00100,,CON,,,17289,,,2004,,17289
UT,S,S4UT00167,,PCH,,,8824,,,2004,,8824
UT,S,S4UT00104,,D/W,,,16,,,2004,,16
UT,S,,,,,,911726,,,2004,,911726
UT,,,,,100432,,1820583,,,2004,,1921015
VT,0,H8VT01016,(I),I,,,205774,,W,2004,,205774
VT,0,H2VT00086,,R,12660,,74271,,,2004,,86931
VT,0,,,W(R),255,,,,,2004,,255
VT,0,,,R,12915,,,,,2004,,12915
VT,0,H4VT00082,,D,14870,,21684,,,2004,,36554
VT,0,H8VT01016,,W(D),1878,,,,,2004,,1878
VT,0,,,W(D),515,,,,,2004,,515
VT,0,,,D,17263,,,,,2004,,17263
VT,0,H2VT00094,,LU,,,3018,,,2004,,3018
VT,0,H8VT01016,,W(PRO),315,,,,,2004,,315
VT,0,H2VT00094,,PRO,238,,,,,2004,,238
VT,0,,,W(PRO),114,,,,,2004,,114
VT,0,,,PRO,667,,,,,2004,,667
VT,0,,,,30845,,305008,,,2004,,335853
VT,H,,,,30845,,305008,,,2004,,335853
VT,S,S4VT00017,(I),D,27459,,216972,,W,2004,,244431
VT,S,S4VT00108,,D,1573,,,,,2004,,1573
VT,S,,,W(D),81,,,,,2004,,81
VT,S,,,D,29113,,,,,2004,,29113
VT,S,S8VT00059,,R,9591,,75398,,,2004,,84989
VT,S,S4VT00124,,R,2058,,,,,2004,,2058
VT,S,S4VT00116,,R,1715,,,,,2004,,1715
VT,S,,,W(R),806,,,,,2004,,806
VT,S,,,R,14170,,,,,2004,,14170
VT,S,S4VT00132,,M,,,6486,,,2004,,6486
VT,S,S4VT00108,,VGR,,,3999,,,2004,,3999
VT,S,S4VT00140,,I,,,3300,,,2004,,3300
VT,S,S4VT00116,,LU,,,879,,,2004,,879
VT,S,,,W(PRO),242,,,,,2004,,242
VT,S,,,PRO,242,,,,,2004,,242
VT,S,,,,43525,,307208,,,2004,,350733
VT,,,,,74370,,612216,,,2004,,686586
VI,0,H4VI00054,(I),D,4811,,17879,,W,2004,,22690
VI,0,H4VI00104,,D,1429,,,,,2004,,1429
VI,0,,,D,6240,,,,,2004,,6240
VI,0,H4VI00120,,I,,,7522,,,2004,,7522
VI,0,H4VI00112,,R,0,,1512,,,2004,,1512
VI,0,,,,6240,,26931,,,2004,,33171
VI,H,,,,6240,,26931,,,2004,,33171
VI,,,,,6240,,26931,,,2004,,33171
VA,1,H0VA01047,(I),R,0,,225071,,W,2004,,225071
VA,1,H4VA01054,,I,,,57434,,,2004,,57434
VA,1,,,,,,286534,,,2004,,286534
VA,2,H4VA02037,,R,,,132946,,W,2004,,132946
VA,2,H0VA02035,(I),R,0,,,,,2004,,0
VA,2,H4VA02029,,D,0,,108180,,,2004,,108180
VA,2,,,,,,241380,,,2004,,241380
VA,3,H6VA01117,(I),D,0,,159373,,W,2004,,159373
VA,3,H4VA03035,,R,,,70194,,,2004,,70194
VA,3,,,,,,229892,,,2004,,229892
VA,4,H2VA04052,(I),R,0,,182444,,W,2004,,182444
VA,4,H4VA04025,,D,,,100413,,,2004,,100413
VA,4,,,,,,283027,,,2004,,283027
VA,5,H6VA05068,(I),R,0,,172431,,W,2004,,172431
VA,5,H4VA05022,,D,,,98237,,,2004,,98237
VA,5,,,,,,270758,,,2004,,270758
VA,6,H2VA06115,(I),R,0,,206560,,W,2004,,206560
VA,6,,,,,,213648,,,2004,,213648
VA,7,H0VA07042,(I),R,0,,230765,,W,2004,,230765
VA,7,H4VA07119,,I,,,74325,,,2004,,74325
VA,7,,,,,,305658,,,2004,,305658
VA,8,H0VA08040,(I),D,24121,,171986,,W,2004,,196107
VA,8,H4VA08091,,D,17067,,,,,2004,,17067
VA,8,,,D,41188,,,,,2004,,41188
VA,8,H4VA08133,,R,,,106231,,,2004,,106231
VA,8,H4VA08166,,R,,,,,,2004,,0
VA,8,H4VA08158,,R,,,,,,2004,,0
VA,8,H4VA08117,,R,,,,,,2004,,0
VA,8,H4VA08174,,I,,,9004,,,2004,,9004
VA,8,,,,41188,,287919,,,2004,,329107
VA,9,H2VA09010,(I),D,,,150039,,W,2004,,150039
VA,9,H4VA09032,,R,,,98499,,,2004,,98499
VA,9,H4VA09040,,I,,,4341,,,2004,,4341
VA,9,,,,,,252947,,,2004,,252947
VA,10,H6VA10050,(I),R,0,,205982,,W,2004,,205982
VA,10,H4VA10048,,D,,,116654,,,2004,,116654
VA,10,,,,,,323011,,,2004,,323011
VA,11,H4VA11020,(I),R,0,,186299,,W,2004,,186299
VA,11,H4VA00023,,D,,,118305,,,2004,,118305
VA,11,H4VA11053,,I,,,4338,,,2004,,4338
VA,11,,,,,,309233,,,2004,,309233
VA,H,,,,41188,,3004007,,,2004,,3045195
VA,,,,,41188,,3004007,,,2004,,3045195
WA,1,H2WA04090,(I),D,89168,,204121,,W,2004,,293289
WA,1,,,D,89168,,,,,2004,,89168
WA,1,H4WA01217,,R,50050,,117850,,,2004,,167900
WA,1,,,R,50050,,,,,2004,,50050
WA,1,H4WA01225,,LBT,1803,,5798,,,2004,,7601
WA,1,,,LBT,1803,,,,,2004,,1803
WA,1,,,,141021,,327769,,,2004,,468790
WA,2,H0WA02080,(I),D,77962,,202383,,W,2004,,280345
WA,2,,,D,77962,,,,,2004,,77962
WA,2,H4WA02124,,R,21519,,106333,,,2004,,127852
WA,2,H4WA02140,,R,19568,,,,,2004,,19568
WA,2,H4WA02132,,R,11523,,,,,2004,,11523
WA,2,,,R,52610,,,,,2004,,52610
WA,2,H2WA02151,,LBT,2078,,7966,,,2004,,10044
WA,2,,,LBT,2078,,,,,2004,,2078
WA,2,,,,132650,,316682,,,2004,,449332
WA,3,H6WA03135,(I),D,61110,,193626,,W,2004,,254736
WA,3,H4WA03098,,D,10518,,,,,2004,,10518
WA,3,,,D,71628,,,,,2004,,71628
WA,3,H4WA03080,,R,30877,,119027,,,2004,,149904
WA,3,H4WA03072,,R,14769,,,,,2004,,14769
WA,3,,,R,45646,,,,,2004,,45646
WA,3,,,,117274,,312653,,,2004,,429927
WA,4,H2WA04041,(I),R,65213,,154627,,W,2004,,219840
WA,4,,,R,65213,,,,,2004,,65213
WA,4,H4WA04054,,D,22933,,92486,,,2004,,115419
WA,4,H2WA04116,,D,7418,,,,,2004,,7418
WA,4,H4WA04062,,D,6191,,,,,2004,,6191
WA,4,,,D,36542,,,,,2004,,36542
WA,4,,,,101755,,247113,,,2004,,348868
WA,5,H4WA05077,,R,42948,,179600,,W,2004,,222548
WA,5,H4WA05051,,R,23593,,,,,2004,,23593
WA,5,H4WA05085,,R,19878,,,,,2004,,19878
WA,5,,,R,86419,,,,,2004,,86419
WA,5,H4WA05093,,D,56199,,121333,,,2004,,177532
WA,5,,,D,56199,,,,,2004,,56199
WA,5,,,,142618,,300933,,,2004,,443551
WA,6,H6WA06021,(I),D,82331,,202919,,W,2004,,285250
WA,6,,,D,82331,,,,,2004,,82331
WA,6,H4WA06067,,R,43653,,91228,,,2004,,134881
WA,6,,,R,43653,,,,,2004,,43653
WA,6,,,,125984,,294147,,,2004,,420131
WA,7,H8WA07132,(I),D,124779,,272302,,W,2004,,397081
WA,7,,,D,124779,,,,,2004,,124779
WA,7,H2WA07077,,R,19962,,65226,,,2004,,85188
WA,7,,,R,19962,,,,,2004,,19962
WA,7,,,,144741,,337528,,,2004,,482269
WA,8,H4WA08071,,R,31088,,173298,,W,2004,,204386
WA,8,H4WA08063,,R,16468,,,,,2004,,16468
WA,8,H4WA08089,,R,16309,,,,,2004,,16309
WA,8,H4WA08097,,R,8350,,,,,2004,,8350
WA,8,,,R,72215,,,,,2004,,72215
WA,8,H4WA08105,,D,39347,,157148,,,2004,,196495
WA,8,H4WA08055,,D,24903,,,,,2004,,24903
WA,8,H8WA08049,,D,16992,,,,,2004,,16992
WA,8,,,D,81242,,,,,2004,,81242
WA,8,H4WA08113,,LBT,1658,,6053,,,2004,,7711
WA,8,,,LBT,1658,,,,,2004,,1658
WA,8,,,,155115,,336499,,,2004,,491614
WA,9,H6WA09025,(I),D,65185,,162433,,W,2004,,227618
WA,9,,,D,65185,,,,,2004,,65185
WA,9,H4WA09038,,R,20829,,88304,,,2004,,109133
WA,9,H4WA09020,,R,18183,,,,,2004,,18183
WA,9,,,R,39012,,,,,2004,,39012
WA,9,H4WA09046,,GRN,,,5934,,,2004,,5934
WA,9,,,,104197,,256671,,,2004,,360868
WA,H,,,,1165355,,2729995,,,2004,,3895350
WA,S,S2WA00189,(I),D,709497,,1549708,,W,2004,,2259205
,,,,,,,,,,,",",0
,,,,,,,,,,,",",0
WA,S,S6WA00115,,D,46490,,,,,2004,,46490
WA,S,S4WA00474,,D,13527,,5548646,,,2004,,5562173
WA,S,S4WA00458,,R,432748,,1204584,,,2004,,1637332
WA,S,S4WA00433,,R,36147,,,,,2004,,36147
WA,S,S4WA00482,,R,29870,,,,,2004,,29870
WA,S,S8WA00129,,R,10033,,,,,2004,,10033
WA,S,S4WA00490,,R,8315,,,,,2004,,8315
WA,S,S4WA00466,,R,4981,,,,,2004,,4981
WA,S,,,R,522094,,,,,2004,,522094
WA,S,S4WA00516,,LBT,12945,,34055,,,2004,,47000
WA,S,,,LBT,12945,,,,,2004,,12945
WA,S,S4WA00508,,GRN,,,30304,,,2004,,30304
WA,S,,,,1304553,,2818651,,,2004,,4123204
WA,,,,,2469908,,5548646,,,2004,,8018554
WV,1,H2WV01029,(I),D,73207,,166583,,W,2004,,239790
WV,1,,,D,73207,,,,,2004,,73207
WV,1,H4WV01033,,R,33157,,79196,,,2004,,112353
WV,1,,,R,33157,,,,,2004,,33157
WV,1,,,,106364,,245779,,,2004,,352143
WV,2,H0WV02138,(I),R,40985,,147676,,W,2004,,188661
WV,2,,,R,40985,,,,,2004,,40985
WV,2,H4WV02049,,D,35265,,106131,,,2004,,141396
WV,2,H4WV02031,,D,18912,,,,,2004,,18912
WV,2,H4WV02023,,D,11581,,,,,2004,,11581
WV,2,,,D,65758,,,,,2004,,65758
WV,2,H4WV02056,,MTP,,,3218,,,2004,,3218
WV,2,,,,106743,,257025,,,2004,,363768
WV,3,H6WV04057,(I),D,78001,,142682,,W,2004,,220683
WV,3,,,D,78001,,,,,2004,,78001
WV,3,H4WV03047,,R,12152,,76170,,,2004,,88322
WV,3,H4WV03062,,R,8631,,,,,2004,,8631
WV,3,,,R,20783,,,,,2004,,20783
WV,3,,,,98784,,218852,,,2004,,317636
WV,H,,,,311891,,721656,,,2004,,1033547
WV,,,,,311891,,721656,,,2004,,1033547
WI,1,H8WI01024,(I),R,39935,,233372,,W,2004,,273307
WI,1,,,W(R),94,,,,,2004,,94
WI,1,,,R,40029,,,,,2004,,40029
WI,1,H4WI01064,,D,13923,,116250,,,2004,,130173
WI,1,H4WI01106,,D,9966,,,,,2004,,9966
WI,1,,,W(D),50,,,,,2004,,50
WI,1,,,D,23939,,,,,2004,,23939
WI,1,H4WI01114,,I,,,4252,,,2004,,4252
WI,1,H4WI01122,,LBT,117,,2936,,,2004,,3053
WI,1,,,W(LBT),3,,,,,2004,,3
WI,1,,,LBT,120,,,,,2004,,120
WI,1,,,W(WG),1,,,,,2004,,1
WI,1,,,WG,1,,,,,2004,,1
WI,1,,,,64089,,356976,,,2004,,421065
WI,2,H8WI00018,(I),D,35904,,251637,,W,2004,,287541
WI,2,,,W(D),53,,,,,2004,,53
WI,2,,,D,35957,,,,,2004,,35957
WI,2,H4WI02054,,R,26974,,145810,,,2004,,172784
WI,2,H8WI02105,,R,16964,,,,,2004,,16964
WI,2,,,W(R),38,,,,,2004,,38
WI,2,,,R,43976,,,,,2004,,43976
WI,2,,,W(WG),2,,,,,2004,,2
WI,2,,,WG,2,,,,,2004,,2
WI,2,,,,79935,,397724,,,2004,,477659
WI,3,H6WI03099,(I),D,29464,,204856,,W,2004,,234320
WI,3,,,W(D),76,,,,,2004,,76
WI,3,,,D,29540,,,,,2004,,29540
WI,3,H4WI03110,,R,38230,,157866,,,2004,,196096
WI,3,,,W(R),92,,,,,2004,,92
WI,3,,,R,38322,,,,,2004,,38322
WI,3,,,W(CON),2,,,,,2004,,2
WI,3,,,CON,2,,,,,2004,,2
WI,3,,,W(LBT),1,,,,,2004,,1
WI,3,,,LBT,1,,,,,2004,,1
WI,3,,,,67865,,363008,,,2004,,430873
WI,4,H4WI04183,,D,48858,,212382,,W,2004,,261240
WI,4,H4WI04159,,D,19377,,,,,2004,,19377
WI,4,H4WI04167,,D,7801,,,,,2004,,7801
WI,4,,,W(D),67,,,,,2004,,67
WI,4,,,D,76103,,,,,2004,,76103
WI,4,H4WI04191,,R,11720,,85928,,,2004,,97648
WI,4,H4WI04142,,R,10490,,,,,2004,,10490
WI,4,,,W(R),44,,,,,2004,,44
WI,4,,,R,22254,,,,,2004,,22254
WI,4,H4WI04217,,I,,,3733,,,2004,,3733
WI,4,H2WI02108,,I,,,1861,,,2004,,1861
WI,4,H4WI04209,,CON,56,,897,,,2004,,953
WI,4,,,W(CON),5,,,,,2004,,5
WI,4,,,CON,61,,,,,2004,,61
WI,4,,,,98418,,305142,,,2004,,403560
WI,5,H8WI09050,(I),R,76179,,271153,,W,2004,,347332
WI,5,,,W(R),328,,,,,2004,,328
WI,5,,,R,76507,,,,,2004,,76507
WI,5,H4WI05057,,D,17750,,129384,,,2004,,147134
,,,,,,,,,,2004,,0
AL,1,H2AL01077,(I),REP,0,,112944,,W,2006,,112944
AL,1,H6AL01052,,DEM,0,,52770,,,2006,,52770
AL,1,,,,,,165841,,,2006,,165841
AL,2,H2AL02067,(I),REP,0,,124302,,W,2006,,124302
AL,2,H4AL02063,,DEM,36058,,54450,,,2006,,90508
AL,2,H6AL02134,,DEM,15016,,,,,2006,,15016
AL,2,,,DEM,51074,,,,,2006,,51074
AL,2,,,,51074,,178919,,,2006,,229993
AL,3,H2AL03032,(I),REP,0,,98257,,W,2006,,98257
AL,3,H6AL03140,,DEM,0,,63559,,,2006,,63559
AL,3,H6AL03132,,IND,,,3414,,,2006,,3414
AL,3,,,,,,165301,,,2006,,165301
AL,4,H6AL04098,(I),REP,0,,128484,,W,2006,,128484
AL,4,H6AL04130,,DEM,0,,54382,,,2006,,54382
AL,4,,,,,,183072,,,2006,,183072
AL,5,H0AL05049,(I),DEM,0,,143015,,W,2006,,143015
AL,5,,,,,,145555,,,2006,,145555
AL,6,H2AL06035,(I),REP,0,,163514,,W,2006,,163514
AL,6,,,,,,166300,,,2006,,166300
AL,7,H0AL07060,(I),DEM,93586,,133870,,W,2006,,227456
AL,7,H6AL07166,,DEM,9358,,,,,2006,,9358
AL,7,,,DEM,102944,,,,,2006,,102944
AL,7,,,,102944,,135164,,,2006,,238108
AL,H,,,,154018,,1140152,,,2006,,1294170
AK,0,H6AK00045,(I),REP,81089,,132743,,W,2006,,213832
AK,0,,,REP,81089,,,,,2006,,81089
AK,0,H6AK00144,,DEM,19421,,93879,,,2006,,113300
AK,0,H6AK00169,,DEM,16529,,,,,2006,,16529
AK,0,H6AK00151,,DEM,2482,,,,,2006,,2482
AK,0,H6AK00136,,DEM,2141,,,,,2006,,2141
AK,0,,,DEM,40573,,,,,2006,,40573
AK,0,H6AK00193,,LBT,3176,,4029,,,2006,,7205
AK,0,H6AK00201,,LBT,687,,,,,2006,,687
AK,0,,,LBT,3863,,,,,2006,,3863
AK,0,H6AK00185,,GRE,3620,,1819,,,2006,,5439
AK,0,,,GRE,3620,,,,,2006,,3620
AK,0,H6AK00219,,IPN,,,1615,,,2006,,1615
AK,0,,,,129145,,234645,,,2006,,363790
AK,H,,,,129145,,234645,,,2006,,363790
AS,0,H0AS00018,(I),DEM,,,5195,,W,2006,,5195
AS,0,H4AS00036,,REP,,,4493,,,2006,,4493
AS,0,H6AS00023,,IND,,,1345,,,2006,,1345
AS,0,,,,,,11033,,,2006,,11033
AS,H,,,,,,11033,,,2006,,11033
AZ,S,S4AZ00030,(I),REP,297636,,814398,,W,2006,,1112034
AZ,S,S6AZ00159,,W(REP),155,,,,,2006,,155
AZ,S,,,REP,297791,,,,,2006,,297791
AZ,S,S6AZ00142,,DEM,214455,,664141,,,2006,,878596
AZ,S,,,DEM,214455,,,,,2006,,214455
AZ,S,S6AZ00175,,LBT,3311,,48231,,,2006,,51542
AZ,S,,,LBT,3311,,,,,2006,,3311
AZ,S,,,,515557,,1526782,,,2006,,2042339
AZ,1,H2AZ01172,(I),REP,37664,,105646,,W,2006,,143310
AZ,1,,,REP,37664,,,,,2006,,37664
AZ,1,H6AZ00035,,DEM,20273,,88691,,,2006,,108964
AZ,1,H6AZ01157,,DEM,7062,,,,,2006,,7062
AZ,1,H4AZ01129,,DEM,5927,,,,,2006,,5927
,,,,,,,,,,,",",0
,,,,,,,,,,,",",0
AZ,1,H6AZ01132,,DEM,3635,,,,,2006,,3635
AZ,1,H6AZ01140,,DEM,1512,,,,,2006,,1512
AZ,1,,,DEM,38409,,,,,2006,,38409
AZ,1,H6AZ01165,,LBT,606,,9802,,,2006,,10408
AZ,1,,,LBT,606,,,,,2006,,606
AZ,1,,,,76679,,204139,,,2006,,280818
AZ,2,H4AZ04024,(I),REP,51386,,135150,,W,2006,,186536
AZ,2,,,REP,51386,,,,,2006,,51386
AZ,2,H6AZ02155,,DEM,11521,,89671,,,2006,,101192
AZ,2,H0AZ03248,,DEM,8462,,,,,2006,,8462
AZ,2,H6AZ02163,,DEM,4667,,,,,2006,,4667
AZ,2,,,DEM,24650,,,,,2006,,24650
AZ,2,H4AZ02119,,LBT,494,,5734,,,2006,,6228
AZ,2,,,LBT,494,,,,,2006,,494
AZ,2,,,,76530,,230560,,,2006,,307090
AZ,3,H4AZ04016,(I),REP,35763,,112519,,W,2006,,148282
AZ,3,,,REP,35763,,,,,2006,,35763
AZ,3,H6AZ03146,,DEM,7902,,72586,,,2006,,80488
AZ,3,H6AZ03153,,DEM,7759,,,,,2006,,7759
AZ,3,H6AZ03161,,W(DEM),12,,,,,2006,,12
AZ,3,,,DEM,15673,,,,,2006,,15673
AZ,3,H4AZ04073,,LBT,322,,4744,,,2006,,5066
AZ,3,,,LBT,322,,,,,2006,,322
AZ,3,,,,51758,,189849,,,2006,,241607
AZ,4,H2AZ02055,(I),DEM,14833,,56464,,W,2006,,71297
AZ,4,,,DEM,14833,,,,,2006,,14833
AZ,4,H2AZ04101,,REP,7175,,18627,,,2006,,25802
AZ,4,,,REP,7175,,,,,2006,,7175
AZ,4,H6AZ04169,,W(LBT)/LBT,12,,2770,,,2006,,2782
AZ,4,,,LBT,12,,,,,2006,,12
AZ,4,,,,22020,,77861,,,2006,,99881
AZ,5,H6AZ05067,,DEM,20852,,101838,,W,2006,,122690
AZ,5,,,DEM,20852,,,,,2006,,20852
AZ,5,H4AZ06052,(I),REP,38275,,93815,,,2006,,132090
AZ,5,,,REP,38275,,,,,2006,,38275
AZ,5,H2AZ05124,,LBT,387,,6357,,,2006,,6744
AZ,5,,,LBT,387,,,,,2006,,387
AZ,5,,,,59514,,202010,,,2006,,261524
AZ,6,H0AZ01184,(I),REP,43199,,152201,,W,2006,,195400
AZ,6,,,REP,43199,,,,,2006,,43199
AZ,6,H6AZ06040,,W(LBT)/LBT,19,,51285,,,2006,,51304
AZ,6,,,LBT,19,,,,,2006,,19
AZ,6,,,,43218,,203486,,,2006,,246704
AZ,7,H2AZ07070,(I),DEM,26604,,80354,,W,2006,,106958
AZ,7,,,DEM,26604,,,,,2006,,26604
AZ,7,H6AZ07014,,REP,10022,,46498,,,2006,,56520
AZ,7,H4AZ02010,,REP,6565,,,,,2006,,6565
AZ,7,,,REP,16587,,,,,2006,,16587
AZ,7,H6AZ07022,,W(LBT)/LBT,13,,4673,,,2006,,4686
AZ,7,,,LBT,13,,,,,2006,,13
AZ,7,,,,43204,,131525,,,2006,,174729
AZ,8,H6AZ08038,,DEM,33375,,137655,,W,2006,,171030
AZ,8,H6AZ08061,,DEM,19148,,,,,2006,,19148
AZ,8,H6AZ08020,,DEM,3687,,,,,2006,,3687
AZ,8,H6AZ08095,,DEM,2855,,,,,2006,,2855
AZ,8,H6AZ08111,,DEM,1768,,,,,2006,,1768
AZ,8,H6AZ08046,,DEM,576,,,,,2006,,576
AZ,8,,,DEM,61409,,,,,2006,,61409
AZ,8,H4AZ08017,,REP,27063,,106790,,,2006,,133853
AZ,8,H6AZ08087,,REP,24119,,,,,2006,,24119
AZ,8,H6AZ08079,,REP,8095,,,,,2006,,8095
AZ,8,H6AZ08129,,REP,2724,,,,,2006,,2724
AZ,8,H6AZ08012,,REP,2075,,,,,2006,,2075
AZ,8,,,REP,64076,,,,,2006,,64076
AZ,8,H6AZ08137,,LBT,516,,4849,,,2006,,5365
AZ,8,,,LBT,516,,,,,2006,,516
AZ,8,H6AZ08103,,IND,,,4408,,,2006,,4408
AZ,8,,,,126001,,253720,,,2006,,379721
AZ,H,,,,498924,,1493150,,,2006,,1992074
AR,1,H6AR01072,(I),DEM,0,,127577,,W,2006,,127577
AR,1,H6AR01106,,REP,0,,56611,,,2006,,56611
AR,1,,,,,,184188,,,2006,,184188
AR,2,H6AR02203,(I),DEM,0,,124871,,W,2006,,124871
AR,2,H6AR02229,,REP,12460,,81432,,,2006,,93892
AR,2,H6AR02237,,REP,3658,,,,,2006,,3658
AR,2,,,REP,16118,,,,,2006,,16118
AR,2,,,,16118,,206303,,,2006,,222421
AR,3,H2AR03176,(I),REP,0,,125039,,W,2006,,125039
AR,3,H6AR03086,,DEM,0,,75885,,,2006,,75885
AR,3,,,,,,200924,,,2006,,200924
AR,4,H0AR04038,(I),DEM,0,,128236,,W,2006,,128236
AR,4,H6AR04068,,REP,0,,43360,,,2006,,43360
AR,4,,,,,,171596,,,2006,,171596
AR,H,,,,16118,,763011,,,2006,,779129
CA,S,S0CA00199,(I),DEM,2176888,,5076289,,W,2006,,7253177
CA,S,S6CA00527,,DEM,199180,,,,,2006,,199180
CA,S,S6CA00519,,DEM,127301,,,,,2006,,127301
CA,S,,,DEM,2503369,,,,,2006,,2503369
CA,S,S6CA00501,,REP,1560472,,2990822,,,2006,,4551294
CA,S,,,REP,1560472,,,,,2006,,1560472
CA,S,S6CA00485,,GRE,12821,,147074,,,2006,,159895
CA,S,S6CA00535,,GRE,10318,,,,,2006,,10318
CA,S,S6CA00543,,GRE/W,4649,,160,,,2006,,4809
CA,S,,,GRE,27788,,,,,2006,,27788
CA,S,S6CA00550,,LBT,16742,,133851,,,2006,,150593
CA,S,,,LBT,16742,,,,,2006,,16742
CA,S,S4CA00357,,PAF,4109,,117764,,,2006,,121873
CA,S,,,PAF,4109,,,,,2006,,4109
CA,S,S4CA00332,,AIP,30787,,75350,,,2006,,106137
CA,S,,,AIP,30787,,,,,2006,,30787
CA,S,,,,4143267,,8541476,,,2006,,12684743
CA,1,H8CA01109,(I),DEM,79138,,144409,,W,2006,,223547
CA,1,,,DEM,79138,,,,,2006,,79138
CA,1,H6CA01152,,REP,41953,,63194,,,2006,,105147
CA,1,,,REP,41953,,,,,2006,,41953
CA,1,H0CA01130,,GRE,2952,,6899,,,2006,,9851
CA,1,,,GRE,2952,,,,,2006,,2952
CA,1,H6CA001160,,PAF,168,,3503,,,2006,,3671
CA,1,,,PAF,168,,,,,2006,,168
CA,1,,,,124211,,218044,,,2006,,342255
CA,2,H6CA02010,(I),REP,69669,,134911,,W,2006,,204580
CA,2,,,REP,69669,,,,,2006,,69669
CA,2,H4CA02072,,DEM,23663,,68234,,,2006,,91897
CA,2,H6CA02192,,DEM,19311,,,,,2006,,19311
CA,2,H6CA02218,,W(DEM),43,,,,,2006,,43
CA,2,,,DEM,43017,,,,,2006,,43017
CA,2,H6CA02200,,LBT,570,,7057,,,2006,,7627
CA,2,,,LBT,570,,,,,2006,,570
CA,2,,,,113256,,210202,,,2006,,323458
CA,3,H6CA34112,(I),REP,56968,,135709,,W,2006,,192677
CA,3,,,REP,56968,,,,,2006,,56968
CA,3,H6CA03091,,DEM,42980,,86318,,,2006,,129298
CA,3,,,DEM,42980,,,,,2006,,42980
CA,3,H8CA05134,,LBT,465,,3772,,,2006,,4237
CA,3,,,LBT,465,,,,,2006,,465
CA,3,H6CA03109,,PAF,83,,2370,,,2006,,2453
CA,3,,,PAF,83,,,,,2006,,83
CA,3,,,,100496,,228169,,,2006,,328665
CA,4,H0CA14042,(I),REP,63731,,135818,,W,2006,,199549
CA,4,H6CA04107,,REP,31162,,,,,2006,,31162
CA,4,,,REP,94893,,,,,2006,,94893
CA,4,H6CA04123,,DEM,26241,,126999,,,2006,,153240
CA,4,H6CA04115,,DEM,19038,,,,,2006,,19038
CA,4,H6CA04149,,DEM,11405,,,,,2006,,11405
CA,4,,,DEM,56684,,,,,2006,,56684
CA,4,H6CA04131,,LBT,672,,14076,,,2006,,14748
CA,4,,,LBT,672,,,,,2006,,672
CA,4,,,,152249,,276893,,,2006,,429142
CA,5,H6CA05195,(I),DEM,52951,,105676,,W,2006,,158627
CA,5,,,DEM,52951,,,,,2006,,52951
CA,5,H6CA05328,,REP,19005,,35106,,,2006,,54111
CA,5,,,REP,19005,,,,,2006,,19005
CA,5,H6CA05310,,GRE,720,,6466,,,2006,,7186
CA,5,,,GRE,720,,,,,2006,,720
CA,5,H4CA05240,,PAF,186,,2018,,,2006,,2204
CA,5,,,PAF,186,,,,,2006,,186
CA,5,,,,72862,,149266,,,2006,,222128
CA,6,H2CA01045,(I),DEM,72058,,173190,,W,2006,,245248
CA,6,H2CA06101,,DEM,36845,,,,,2006,,36845
CA,6,H6CA06193,,W(DEM),11,,,,,2006,,11
CA,6,,,DEM,108914,,,,,2006,,108914
CA,6,H6CA06185,,REP,19448,,64405,,,2006,,83853
CA,6,H6CA06193,,REP/W,14445,,5,,,2006,,14450
CA,6,,,REP,33893,,,,,2006,,33893
CA,6,H6CA06201,,LBT,659,,9028,,,2006,,9687
CA,6,,,LBT,659,,,,,2006,,659
CA,6,,,,143466,,246628,,,2006,,390094
CA,7,H6CA07043,(I),DEM,57308,,118000,,W,2006,,175308
CA,7,,,DEM,57308,,,,,2006,,57308
CA,7,H6CA07118,,LBT,333,,22486,,,2006,,22819
CA,7,,,LBT,333,,,,,2006,,333
CA,7,,,,57641,,140486,,,2006,,198127
CA,8,H8CA05035,(I),DEM,77976,,148435,,,2006,,226411
CA,8,,,DEM,77976,,,,W,2006,,77976
CA,8,H6CA08140,,REP,7260,,19800,,,2006,,27060
CA,8,H6CA08157,,REP,2319,,,,,2006,,2319
CA,8,,,REP,9579,,,,,2006,,9579
CA,8,H6CA08165,,GRE,2647,,13653,,,2006,,16300
CA,8,,,GRE,2647,,,,,2006,,2647
CA,8,H6CA08173,,LBT,381,,2751,,,2006,,3132
CA,8,,,LBT,381,,,,,2006,,381
CA,8,,,,90583,,184639,,,2006,,275222
