cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
H0AZ01291,2010,4126.74,1050.14,2245.72,2014.29,,2421.8,,,,,,,
H0AZ01309,2010,516.22,940.58,3306.71,4409.48,,1207.83,1749.5,,,,,,
H0AZ02141,2010,3884.19,4924.3,4.46,3687.69,,374.34,359.88,,,,,,26.0
H0AZ03313,2010,6363.23,569.8,19806.01,77197.46,2060.0,141673.75,499.53,,,,,,1673.43
H0AZ03321,2010,152552.4,1628.64,16441.42,193063.65,13500.0,49358.45,,,,,,,18516.91
H0AZ03321,2012,224821.44,2082.7,106301.55,785871.52,35300.0,5789.58,,,,,,,108521.79000000001
H0AZ03339,2010,33865.13,2826.58,9416.4,30928.54,,5160.56,1979.94,,,,,,238.17
H0AZ03339,2012,298.04,,1788.0,1642.98,,,,,,,,,
H0AZ03354,2010,74354.02,3.82,3810.0,88732.51,,2747.0,2250.0,,,2900.0,,,133380.73
H0AZ03396,2010,168716.67,326.29,,1109347.51,10200.0,16542.86,7560.23,,,,,,4221.99
H0AZ03396,2012,925.0,,,,,,,,,,,,
H0AZ04493,2010,14584.83,61.08,5106.89,33100.71,8000.0,7974.53,6958.41,,,,,,440.76
H0AZ04501,2010,301.9,,,18720.0,,,5112.0,,,,,,200.0
H0AZ04501,2012,6516.18,,,12654.18,,,1500.0,,,,,,
H0AZ04501,2014,11976.96,,,11075.32,,3015.0,,,,,,,1056.12
H0AZ05078,2010,263871.86,,58489.41,383316.21,16050.0,,16904.37,,,,,,2453.41
H0AZ05078,2012,2631.42,,240.0,,,,,,,,,,1812.03
H0AZ05094,2010,131.74,339.88,935.55,17422.09,,4873.54,1000.0,,,,,,389.0
H0AZ05102,2010,136670.45,,17420.6,110329.38,6000.0,6255.02,,,,,,,34500.86
H0AZ07017,2010,13583.29,,2428.56,13635.07,,718.52,,,,,,,645482.86
H0AZ07017,2014,1296.25,,,,,,,,,,,,11673.13
H0AZ07025,2010,9446.48,3465.95,18535.08,78416.34,,13553.57,,,,,,,1785.66
H0AZ08015,2010,93547.19,14159.78,41230.79,285927.87,6650.0,21625.47,11532.41,,,,,,1187184.2599999998
H0AZ08015,2012,302433.25,350.0,86450.84999999999,555509.67,21300.0,20082.99,16965.18,,,,,,44022.99
H0AZ08023,2010,218.2,60.0,827.5,336.37,,640.28,350.0,,,63.78,1325.0,,1007.0
H0AZ08031,2010,74123.39,2782.24,17567.88,87594.55,,6485.24,3062.4,,,,,,7702.65
H0AZ08031,2012,413.15,,,,,,,,,,,,
H0AZ08056,2012,3215.97,,,,,,,,,,,,1573920.0
H0CA01148,2010,57248.92,,1225.0,38028.17,300.0,,,,,,,,3721.84
H0CA01148,2012,1146.82,,,2054.23,,,,,,,,,
H0CA02120,2010,8850.78,129.8,4306.99,25071.66,,2708.2,254.82,,,,,,2687.07
H0CA02120,2012,800.0,,226.32,9361.47,,2272.38,,,,,,,751.75
H0CA02138,2010,29435.14,2654.79,2552.37,46165.7,16750.0,8365.14,6036.95,,,,,,19040.59
H0CA02138,2012,64561.45,7306.04,288.0,26013.0,2960.0,144.22,80.0,,1200.0,,,,74550.61
H0CA03078,2010,865207.61,22761.68,46851.16,347479.0,56372.5,1534657.85,4112.0,,,,,,50765.009999999995
H0CA03078,2012,712135.2999999999,11554.11,70232.24,96056.52,115665.0,2290329.14,,,,,,,50435.3
H0CA03078,2014,294702.95000000007,2688.41,59157.07,,7500.0,250.0,,,,,,,3936450.61
H0CA04134,2010,7616.79,656.27,,9222.36,,,,,,,,,2380.0
H0CA04142,2010,751.5,,,,,,,,,,,,2170.0
H0CA05073,2012,1706.36,,,2872.56,,,,,,,,,600.0
H0CA06097,2010,85471.05,,,25816.36,,20298.55,,,,,,,11724.69
H0CA06121,2012,37805.44,12851.43,17520.26,37334.28,160052.2,,,,,,,,
H0CA07103,2010,1993.55,432.23,3218.08,3485.96,,3207.31,3391.22,,,,,,81662.12
H0CA07103,2012,5854.16,4354.43,467.82,9429.28,,9926.86,7141.27,,,,,,35.56
H0CA08069,2010,489230.81,18690.13,1368216.2,219467.45,17075.76,176358.86,3297.67,,,,750.0,,1058.02
H0CA08069,2012,129395.44,13160.82,435221.12,56240.67,6885.0,1201.38,,,,,,750.0,
H0CA08069,2014,86402.08,9322.67,508830.25,21855.5,,,,,,,,,3431.45
H0CA10073,2010,192283.71,1182.88,72232.32,93640.0,5000.0,154845.65,1159.17,,,,,,8091.4
H0CA10073,2012,1265.6,,7566.67,,,,,,,,,,
H0CA10073,2014,186086.82,10053.98,16226.02,186230.46,15000.0,5649.19,1245.72,,,,,,11317.88
H0CA10123,2010,798726.34,15612.57,60594.4,1213543.99,104386.3,568733.99,19296.38,,,,,,254649.14
H0CA10123,2012,69481.51000000001,1124.69,4906.49,,,,,,,,,,22945.46
H0CA10123,2014,12351.49,,,,,,,,,,,,
H0CA10149,2010,168719.03,204.71,6574.87,780.0,29000.0,147546.62,2555.78,,,,,,1265761.24
H0CA10149,2012,1061.16,,,,,,,,,,,,2034684.89
H0CA10180,2010,283.31,100.87,26.44,35.0,,357.64,,,,,,,25366.0
H0CA10230,2010,13666.37,,,700.0,,,,,,,,,1713.39
H0CA11303,2010,237239.33,10984.48,41105.95,111401.66,10000.0,57092.89,58136.16,,0.0,,,,13675.81
H0CA11303,2012,2083.91,,,,,,,,0.0,,,,
H0CA11337,2010,205572.24,,,,,,,,,,,,14188.76
H0CA11337,2014,59607.25,,,,,,,,,,,,2350.51
H0CA11352,2014,204377.2,4788.22,168892.9,4722.6,2500.0,6740.55,,,,,,,8911.93
H0CA13093,2010,92.0,,,,1740.0,,,,,,,,34.99
H0CA13119,2010,1700.0,,,,,,,,,,,,
H0CA14042,2004,521515.09,7097.14,28663.15,226.62,,,,,,,,,46186.96
H0CA14042,2006,621063.76,23061.56,346558.27,1221790.87,96402.99,,,,,,,2000.0,13972.79
H0CA14042,2008,239973.47,1871.71,159878.53,2673.37,,,,,,,,,2201.2
H0CA14042,2010,50.8,,41.35,,,,,,,,,,
H0CA14042,2012,1135.53,,25491.69,,,,,,,,,,
H0CA15189,2010,707.68,,644.58,1747.0,,,,,,,,,6360.0
H0CA16096,2010,12131.99,,238.0,18737.83,,2120.0,,,,,,,
H0CA17185,2014,293.73,,654.0,12734.53,,1529.9,,,,,,,279.44
H0CA18050,2010,229118.88,1333.0,7469.71,39809.7,,45334.66,7186.43,,0.0,,,,6041.78
H0CA18050,2012,6180.73,,,,,,,,,,,,
H0CA18050,2014,600.0,,,,,,,,,,,,
H0CA19124,2010,3182.57,,,,80.0,,,,,,,,20458.08
H0CA19140,2010,27134.67,6859.38,32379.6,83033.8,,2987.11,784.11,,,,,,
H0CA19173,2010,200014.58,35090.53,96194.68,653903.83,56950.0,,,,,,,,90384.21
H0CA19173,2012,308246.11999999994,71262.9,364254.67999999993,1876410.58,58000.0,,,,,,,,169398.93999999997
