state_abbreviation,district,cand_id,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,cycle,total_votes
AZ,7,H4AZ07019,0,R,5107.0,0.0,0.0,0.0,0,2004,5107
AZ,7,H4AZ07027,0,LBT,294.0,0.0,7503.0,0.0,0,2004,7797
AZ,8,H2AZ02014,1,R,36039.0,0.0,183363.0,0.0,1,2004,219402
AZ,8,H4AZ08017,0,R,26686.0,0.0,0.0,0.0,0,2004,26686
AZ,8,H4AZ08058,0,D,20216.0,0.0,109963.0,0.0,0,2004,130179
AZ,8,H4AZ08033,0,D,9177.0,0.0,0.0,0.0,0,2004,9177
AZ,8,H4AZ08041,0,D,5093.0,0.0,0.0,0.0,0,2004,5093
AZ,8,H6AZ06024,0,LBT,385.0,0.0,10443.0,0.0,0,2004,10828
AZ,S,S6AZ00019,1,R,331720.0,0.0,1505372.0,0.0,1,2004,1837092
AZ,S,S0AZ00152,0,D,173540.0,0.0,404507.0,0.0,0,2004,578047
AZ,S,S4AZ00121,0,LBT,2756.0,0.0,51798.0,0.0,0,2004,54554
AR,1,H6AR01072,1,D,0.0,0.0,162388.0,0.0,1,2004,162388
AR,1,H4AR01044,0,R,0.0,0.0,81556.0,0.0,0,2004,81556
AR,2,H6AR02203,1,D,0.0,0.0,160834.0,0.0,1,2004,160834
AR,2,H4AR02117,0,R,11590.0,0.0,115655.0,0.0,0,2004,127245
AR,2,H2AR02046,0,R,5156.0,0.0,0.0,0.0,0,2004,5156
AR,3,H2AR03176,1,R,0.0,0.0,160629.0,0.0,1,2004,160629
AR,3,H4AR03024,0,D,0.0,0.0,103158.0,0.0,0,2004,103158
AR,3,H4AR03032,0,I,0.0,0.0,7016.0,0.0,0,2004,7016
AR,4,H0AR04038,1,D,0.0,0.0,0.0,0.0,1,2004,0
AR,S,S8AR00112,1,D,231037.0,0.0,580973.0,0.0,1,2004,812010
AR,S,S4AR00061,0,D,47010.0,0.0,0.0,0.0,0,2004,47010
AR,S,S4AR00046,0,R,37254.0,0.0,458036.0,0.0,0,2004,495290
AR,S,S4AR00053,0,R,10709.0,0.0,0.0,0.0,0,2004,10709
AR,S,S4AR00079,0,R,6078.0,0.0,0.0,0.0,0,2004,6078
CA,1,H8CA01109,1,D,92371.0,0.0,189366.0,0.0,1,2004,281737
CA,1,H0CA01106,0,R,48710.0,0.0,79970.0,0.0,0,2004,128680
CA,1,H0CA01130,0,GRN,2365.0,0.0,13635.0,0.0,0,2004,16000
CA,1,H4CA01058,0,GRN,1966.0,0.0,0.0,0.0,0,2004,1966
CA,2,H6CA02010,1,R,79923.0,0.0,182119.0,0.0,1,2004,262042
CA,2,H2CA02068,0,D,20760.0,0.0,90310.0,0.0,0,2004,111070
CA,2,H4CA02072,0,D,14246.0,0.0,0.0,0.0,0,2004,14246
CA,2,H4CA02080,0,D,11897.0,0.0,0.0,0.0,0,2004,11897
CA,3,H6CA34112,0,R,35595.0,0.0,177738.0,0.0,1,2004,213333
CA,3,H4CA03070,0,R,32728.0,0.0,0.0,0.0,0,2004,32728
CA,3,H4CA03088,0,R,21469.0,0.0,0.0,0.0,0,2004,21469
CA,3,H2CA05061,0,R,1693.0,0.0,0.0,0.0,0,2004,1693
CA,3,H4CA03062,0,D,51155.0,0.0,100025.0,0.0,0,2004,151180
CA,3,H8CA05134,0,LBT,634.0,0.0,9310.0,0.0,0,2004,9944
CA,4,H0CA14042,1,R,105015.0,0.0,221926.0,0.0,1,2004,326941
CA,4,H4CA04078,0,D,58036.0,0.0,117443.0,0.0,0,2004,175479
CA,5,H8CA03014,1,D,63291.0,0.0,138004.0,0.0,1,2004,201295
CA,5,H4CA05232,0,W(D),11.0,0.0,0.0,0.0,0,2004,11
CA,5,H4CA05224,0,R,26674.0,0.0,45120.0,0.0,0,2004,71794
CA,5,H4CA05232,0,GRN,1041.0,0.0,6593.0,0.0,0,2004,7634
CA,5,H4CA05240,0,PFP,215.0,0.0,3670.0,0.0,0,2004,3885
CA,6,H2CA01045,1,D,99970.0,0.0,226423.0,0.0,1,2004,326393
