cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,total_votes
H4CO06087,2014,,,,,,,,,,,,,5084245.93,CO,6,0,D,24267.0,0.0,118847.0,0.0,0,143114.0
H4DC00076,2014,,,,,,,,,,,,,8696.71,DC,0,0,IND,0.0,0.0,9101.0,0.0,0,9101.0
H4FL02054,2004,,,,,,,,,,,,,1122878.05,FL,2,0,R,0.0,0.0,125399.0,0.0,0,125399.0
H4FL02054,2006,,,,,,,,,,,,,13820.37,,,,,,,,,,
H4FL05032,2012,,,,,,,,,,,,,7946.21,FL,12,0,NPA,0.0,0.0,6878.0,0.0,0,6878.0
H4FL09109,2014,,,,,,,,,,,,,39680.78,FL,9,0,R,6293.0,0.0,0.0,0.0,0,6293.0
H4FL09117,2014,,,,,,,,,,,,,34526.17,FL,9,0,R,3301.0,0.0,0.0,0.0,0,3301.0
H4FL13101,2014,,,,,,,,,,,,,1802084.2,FL,13,1,R,0.0,0.0,168172.0,0.0,1,168172.0
H4FL14059,2004,,,,,,,,,,,,,1820281.68,FL,14,0,R,27526.0,0.0,226662.0,0.0,1,254188.0
H4FL14059,2006,,,,,,,,,,,,,944244.53,FL,14,1,REP,0.0,0.0,151615.0,0.0,1,151615.0
H4FL14059,2008,,,,,,,,,,,,,1006021.61,FL,14,1,R,0.0,0.0,224602.0,0.0,1,224602.0
H4FL14059,2010,,,,,,,,,,,,,867394.58,FL,14,1,REP,0.0,0.0,188341.0,0.0,1,188341.0
H4FL14059,2012,,,,,,,,,,,,,7190659.79,,,,,,,,,,
H4FL14059,2014,,,,,,,,,,,,,195668.83,,,,,,,,,,
H4FL14067,2006,,,,,,,,,,,,,1600.0,,,,,,,,,,
H4FL14083,2004,,,,,,,,,,,,,378834.31,FL,14,0,R,7465.0,0.0,0.0,0.0,0,7465.0
H4FL15155,2014,,,,,,,,,,,,,382784.03,FL,15,0,D,0.0,0.0,84832.0,0.0,0,84832.0
H4FL16021,2006,,,,,,,,,,,,,1911802.09,FL,16,1,REP,0.0,0.0,0.0,0.0,0,0.0
H4FL16021,2010,,,,,,,,,,,,,34791.97,,,,,,,,,,
H4FL16021,2012,,,,,,,,,,,,,12938.14,,,,,,,,,,
H4FL16021,2014,,,,,,,,,,,,,2729.87,,,,,,,,,,
H4FL16096,2008,,,,,,,,,,,,,734763.96,FL,16,0,R,19626.0,0.0,0.0,0.0,0,19626.0
H4FL16096,2010,,,,,,,,,,,,,346.64,,,,,,,,,,
H4FL16104,2004,,,,,,,,,,,,,6783.35,,,,,,,,,,
H4FL16104,2006,,,,,,,,,,,,,806445.81,FL,16,0,REP,0.0,0.0,111415.0,0.0,0,111415.0
H4FL16104,2008,,,,,,,,,,,,,16607.94,,,,,,,,,,
H4FL18027,2006,,,,,,,,,,,,,68056.01,FL,18,0,DEM,0.0,0.0,48499.0,0.0,0,48499.0
H4FL18027,2008,,,,,,,,,,,,,4795.12,,,,,,,,,,
H4FL18100,2014,,,,,,,,,,,,,93434.22,FL,18,0,R,5361.0,0.0,0.0,0.0,0,5361.0
H4FL19074,2014,,,,,,,,,,,,,4806359.14,FL,19,1,R,0.0,0.0,159354.0,0.0,1,159354.0
H4FL20023,2004,,,,,,,,,,,,,1335545.85,FL,20,0,D,0.0,0.0,191195.0,0.0,1,191195.0
H4FL20023,2006,,,,,,,,,,,,,486194.31,FL,20,1,DEM,0.0,0.0,0.0,0.0,0,0.0
H4FL20023,2008,,,,,,,,,,,,,758194.02,FL,20,1,D,0.0,0.0,202832.0,0.0,1,202832.0
H4FL20023,2010,,,,,,,,,,,,,1195793.42,FL,20,1,DEM,0.0,0.0,100787.0,0.0,1,100787.0
H4FL20023,2012,,,,,,,,,,,,,2901335.44,FL,23,1,D,0.0,0.0,174205.0,0.0,1,174205.0
H4FL20023,2014,,,,,,,,,,,,,2365290.72,FL,23,1,D,0.0,0.0,103269.0,0.0,1,103269.0
H4FL20056,2014,,,,,,,,,,,,,64180.16,FL,20,0,D,5256.0,0.0,0.0,0.0,0,5256.0
H4FL21047,2006,,,,,,,,,,,,,14910.0,FL,21,0,DEM,0.0,0.0,45522.0,0.0,0,45522.0
H4FL21047,2008,,,,,,,,,,,,,350.0,,,,,,,,,,
H4FL23076,2014,,,,,,,,,,,,,163407.83,FL,23,0,R,3764.0,0.0,0.0,0.0,0,3764.0
H4GA04074,2006,,,,,,,,,,,,,3764.73,,,,,,,,,,
H4GA04108,2004,,,,,,,,,,,,,678643.79,GA,4,0,D,19723.0,0.0,0.0,0.0,0,19723.0
H4GA04108,2006,,,,,,,,,,,,,2220.93,,,,,,,,,,
H4GA06079,2004,,,,,,,,,,,,,1864292.49,GA,6,0,R,23176.0,23959.0,0.0,0.0,0,47135.0
H4GA06079,2006,,,,,,,,,,,,,10380.73,,,,,,,,,,
H4GA06079,2008,,,,,,,,,,,,,12340.6,,,,,,,,,,
H4GA06087,2004,,,,,,,,,,,,,2225875.94,GA,6,0,R,29144.0,28180.0,267542.0,0.0,1,324866.0
H4GA06087,2006,,,,,,,,,,,,,1303911.98,GA,6,1,REP,47921.0,0.0,144958.0,0.0,1,192879.0
H4GA06087,2012,,,,,,,,,,,,,1065622.8,GA,6,1,R,71032.0,0.0,189669.0,0.0,1,260701.0
H4GA06087,2014,,,,,,,,,,,,,1188847.25,GA,6,1,R,44074.0,0.0,139018.0,0.0,1,183092.0
H4GA06095,2004,,,,,,,,,,,,,81261.16,GA,6,0,R,7645.0,0.0,0.0,0.0,0,7645.0
H4GA06095,2006,,,,,,,,,,,,,7596.0,,,,,,,,,,
H4GA06111,2004,,,,,,,,,,,,,1987966.25,GA,6,0,R,17705.0,0.0,0.0,0.0,0,17705.0
H4GA06111,2006,,,,,,,,,,,,,300.0,,,,,,,,,,
